"","V1","V2"
"1%",-1616.6101137647,-1785.95312748714
"2%",-844.828086981882,-1177.58100434191
"3%",-634.554578816785,-748.193291977846
"4%",-430.404746796667,-491.210467372237
"5%",-226.519042524425,-350.764390254172
"6%",-120.348866397507,-217.526145546823
"7%",-46.220335721731,-76.6155919222009
"8%",-30.9232250839406,-7.02735727204064
"9%",-16.9182721026527,-0.199015481942893
"10%",1.05423770648534,5.73083466551032
"11%",39.7540391344426,26.5482174038358
"12%",101.6963972342,76.6957787543421
"13%",450.928552676097,612.87272042467
"14%",1000.05737024543,1977.23241145464
"15%",1718.0094396758,4591.48350590819
"16%",2551.94473255435,5678.12601642415
"17%",3531.29953047577,6628.14537949143
"18%",4410.02785222163,7516.17428645139
"19%",5015.74705839027,8279.51356412871
"20%",5692.98299686225,8964.4444840922
"21%",6325.11619323373,9623.93319424149
"22%",6736.32709974234,10744.6443956484
"23%",7239.35466443106,11512.8467485756
"24%",7924.77599853034,11997.6093819748
"25%",8670.27621946559,12551.9195232139
"26%",9210.67405037453,13315.6585204832
"27%",9537.95728712956,13920.9075596733
"28%",9825.77145871548,14492.3184251041
"29%",10194.2087219272,16391.1013227703
"30%",10430.0558664981,17788.8893365926
"31%",10797.3910177399,18937.1800072966
"32%",11158.3228786123,19718.7353754392
"33%",11426.7914887011,20251.912586623
"34%",11689.6343991758,20800.025977644
"35%",11959.515565225,21270.683078457
"36%",12240.0629970352,21649.5235137893
"37%",12530.172851173,22117.7178495312
"38%",12806.8119887257,22453.3328019712
"39%",13042.4758725709,22777.4385089616
"40%",13294.2498079617,23151.9499731523
"41%",13615.9125043044,23543.1131047819
"42%",13859.8711770824,24165.3079649868
"43%",14199.093865679,24844.8244832746
"44%",14483.0544345776,25771.4839573047
"45%",14793.4970000426,26541.0840871407
"46%",15370.4397495101,27179.3494317527
"47%",16015.1982078004,27924.8479248989
"48%",16539.2614860384,28594.8291821382
"49%",16885.5489160733,29292.0300363639
"50%",17327.1639106231,29730.0415890126
"51%",17713.7802726217,30074.3186745821
"52%",18028.2608379202,30477.5484360136
"53%",18273.0510154679,30971.0345486491
"54%",18566.9153936884,31448.295028105
"55%",18766.9819322104,31804.3467192924
"56%",18949.7162152394,32132.4109255133
"57%",19115.186662249,32417.934146407
"58%",19263.5444775227,32758.7412069753
"59%",19381.0485228399,33198.0114418395
"60%",19537.7870765431,33721.5796511408
"61%",19681.8162033245,34154.953072852
"62%",19818.3808286113,34467.8012786083
"63%",19955.5027879952,34784.1570168994
"64%",20113.391657378,35083.6376550634
"65%",20243.2107538441,35423.8631129921
"66%",20399.3365842455,35876.8379330452
"67%",20547.2684080802,36234.1662130327
"68%",20683.3867780019,36726.648913048
"69%",20823.7000124367,37259.007525397
"70%",21027.8725622591,37751.5343661801
"71%",21233.0383992264,38086.7319518712
"72%",21447.0138825782,38497.9661889154
"73%",21615.4431541888,39037.4764639168
"74%",21750.7662613232,41111.5053299269
"75%",21883.3549243797,42087.3966640282
"76%",21995.5273582631,42945.3273568182
"77%",22115.5342116259,43561.0434123967
"78%",22246.2136429725,44432.6089405078
"79%",22371.1209399674,44815.5140831529
"80%",22495.8065885821,45314.1643121438
"81%",22617.4126378413,45700.7056436489
"82%",22737.6760858015,46123.1195670651
"83%",22876.5644540396,46509.9169380127
"84%",23007.5904623798,46871.4351083272
"85%",23148.6372835857,47228.8020985272
"86%",23292.7067603286,47560.206510379
"87%",23420.4647062756,47994.6037370309
"88%",23541.3019824907,48413.8417138438
"89%",23666.4897747071,48707.0808375209
"90%",23795.7029238973,48995.5848522985
"91%",23958.6028543901,49289.4337062761
"92%",24138.7318218229,49592.4973166818
"93%",24340.8415943499,50028.862905906
"94%",24555.9492011377,50845.1621820166
"95%",24787.7928887992,52052.4101372155
"96%",24998.1984198755,52674.4354279498
"97%",25230.1330732012,53131.0870928883
"98%",25537.3734710852,53760.1161041557
"99%",25881.9938443916,54841.4501788197
