"","V1","V2"
"1%",-6425.00516381004,-19918.1071154253
"2%",-5849.84763047884,-19557.8049836782
"3%",-5342.91541391296,-19290.8667605593
"4%",-5014.27807622852,-19065.5162555712
"5%",-4821.51032569871,-18851.7164198422
"6%",-4636.93394227532,-18629.3300578293
"7%",-4440.4017198772,-18442.544593171
"8%",-4195.2780497016,-18279.7036067779
"9%",-3924.08708320968,-18102.8400383678
"10%",-3508.80248254646,-17877.8789231867
"11%",-3104.41382538032,-17622.6671777891
"12%",-2711.70948474784,-17311.2982512483
"13%",-2470.21099449653,-16852.5479143681
"14%",-2237.11531169843,-16444.8240513248
"15%",-2034.90838093949,-16031.1479044768
"16%",-1788.45029121437,-15640.3294909887
"17%",-1507.70700201018,-15110.8223884252
"18%",-1276.15431518348,-14310.8079953695
"19%",-1080.76388919389,-13304.4423068219
"20%",-923.037882949491,-12276.3581517348
"21%",-735.90067616183,-11514.9839836958
"22%",-557.948442577627,-10968.6645262914
"23%",-399.301162601984,-10531.1553206965
"24%",-292.780616540154,-10163.0080266686
"25%",-199.384766644648,-9805.74695792124
"26%",-128.819302454381,-9357.45880807265
"27%",-49.1336809019884,-8744.48653199295
"28%",-21.9190462638243,-8146.62399003877
"29%",-11.8284997880282,-7570.77933782089
"30%",-4.61899133530349,-6773.84270435918
"31%",2.00476810109646,-6245.15606094517
"32%",9.05530593235569,-5915.76199854103
"33%",67.4405436899479,-5652.8708220353
"34%",204.557693303021,-5409.4447661101
"35%",350.602653515038,-5134.423882944
"36%",496.051425739345,-4848.79201477465
"37%",642.817819506364,-4620.08337776482
"38%",833.177537470853,-4241.65668529043
"39%",1059.35704733481,-3676.10186173475
"40%",1254.92278745705,-3081.12577436438
"41%",1423.06102796706,-2454.98294342946
"42%",1629.19816010165,-2103.14680712206
"43%",1791.24377452098,-1839.63197884639
"44%",1984.14368146449,-1600.99149265311
"45%",2223.69788108325,-1359.15971098322
"46%",2442.95240602354,-1108.72548740255
"47%",2692.05166990236,-807.863622210789
"48%",2866.47952117,-513.786909881465
"49%",3065.53448415026,-212.700164252256
"50%",3245.51179636711,-99.6081715006269
"51%",3461.02680127947,-28.556461715623
"52%",3645.66303692482,-3.67399608941285
"53%",3838.41692297939,1.76372703530196
"54%",4034.01928895747,10.5826005410725
"55%",4244.71549108435,24.2492515371711
"56%",4470.23089822723,46.2169325306793
"57%",4775.18971294413,186.765006384055
"58%",5065.11677209646,505.221582666606
"59%",5374.07173737467,679.463288922566
"60%",5610.73281218759,847.684990389932
"61%",5833.68242945936,1053.39236329044
"62%",6077.12697791775,1241.48810246503
"63%",6289.38675109952,1427.92325884288
"64%",6512.48300196838,1598.83211904717
"65%",6725.97397082638,1746.10953541
"66%",7024.14413577562,1904.86907252501
"67%",7329.46638611471,2078.88391594011
"68%",7704.82163563946,2295.20894472179
"69%",8021.98254225985,2571.76198305542
"70%",8314.88440501354,2901.43661494746
"71%",8529.47608888853,3210.28166398195
"72%",8712.70181288402,3522.22368655506
"73%",8906.23743672308,3764.45271516796
"74%",9096.75255966451,4136.4028754913
"75%",9266.96165888144,4542.3352860464
"76%",9521.1139396223,4846.34121726237
"77%",9739.54370334343,5052.59390668199
"78%",9955.41593808214,5230.57514123367
"79%",10199.8469927192,5398.65329998178
"80%",10539.4606194747,5585.56377391512
"81%",10949.8203956024,5758.77573401643
"82%",11280.8276848716,5965.73317935216
"83%",11514.8521697158,6186.31047677615
"84%",11774.8039993353,6396.72935867673
"85%",12082.7830364676,6592.2876563706
"86%",12377.8336696218,6861.54922129801
"87%",12725.0585799907,7120.34748645913
"88%",13050.8138592772,7404.26029278099
"89%",13388.8161697296,7745.04914047422
"90%",13738.5097785206,8127.2730411357
"91%",14051.1222157312,8530.89157351496
"92%",14386.7421779737,9164.61444363993
"93%",14630.5819921307,9648.4923805991
"94%",14891.8820313296,10114.6145738139
"95%",15166.974861346,10536.160067369
"96%",15486.0815459126,11130.8514390755
"97%",15801.521262617,11604.2325487339
"98%",16181.26987925,12195.1430037797
"99%",16643.0920961059,13062.0674826623
