"","V1","V2"
"1%",-42331.6951688771,-3926.44988850861
"2%",-41133.7493252136,-2986.81375777317
"3%",-40259.4230665191,-2558.12457883894
"4%",-39667.3266189267,-2072.34729979302
"5%",-39219.647226905,-1537.49125864887
"6%",-38739.5065402722,-1161.19766031597
"7%",-38351.1336432426,-827.502445228698
"8%",-38017.6761098916,-514.028672518257
"9%",-37685.2905660018,-154.256736061754
"10%",-37303.0090195145,-58.6284321861542
"11%",-36852.3748139672,-46.8747843460139
"12%",-36319.9400058754,-29.1741428256466
"13%",-35657.807376944,-8.57708020762744
"14%",-34177.8329931458,-1.09194462013796
"15%",-32958.9711880548,8.43523601517679
"16%",-32596.1465905392,69.4293103049725
"17%",-32264.3684279737,204.975885158185
"18%",-31932.8762356766,458.864699004583
"19%",-31639.5254102127,859.328734864957
"20%",-31384.4015582704,1516.56230189338
"21%",-31178.8728673247,1986.16513362165
"22%",-30921.7017154281,2569.80685513385
"23%",-30607.0618088958,4097.13266991985
"24%",-30282.5315756572,7825.45931468508
"25%",-29887.7655881518,8982.1231420857
"26%",-29519.7952747561,9596.8101378447
"27%",-28929.9086795898,10194.6110680187
"28%",-28221.4634268188,10864.7114692953
"29%",-22481.9241176289,11407.9613707635
"30%",-21070.3350514075,11875.89077616
"31%",-20111.2687201648,12193.2856147543
"32%",-19189.2392650437,12532.8506731884
"33%",-18374.1309672832,12837.6200775903
"34%",-17369.5566664036,13290.0928507557
"35%",-15893.9884101445,13622.0165937505
"36%",-14905.798552815,13869.4719199395
"37%",-12847.789307618,14109.9515264191
"38%",-11786.7993226919,14321.8089305029
"39%",-11314.8662324451,14573.6236423422
"40%",-11047.6584693353,14747.3922111495
"41%",-10625.3588194833,14924.4300795663
"42%",-10273.3123804635,15103.7732595689
"43%",-9910.52771696613,15227.7536914547
"44%",-9612.11874546925,15381.9429498042
"45%",-9292.32302071842,15538.1942227581
"46%",-8961.25467263915,15672.2827593161
"47%",-8656.65771840166,15815.5321171711
"48%",-8371.87650891425,15926.1328701368
"49%",-8120.45315048801,16060.1595859557
"50%",-7808.67419498433,16167.1857589242
"51%",-7476.15694814074,16281.165308774
"52%",-7202.20804652224,16385.5352862479
"53%",-6910.11724307629,16516.5423551859
"54%",-6725.82585265657,16640.1081298188
"55%",-6511.35754473487,16757.7669527826
"56%",-6286.92598190502,16870.5453869344
"57%",-6093.15049575181,16983.4618892204
"58%",-5918.48039180278,17103.8495362122
"59%",-5692.2756503961,17219.2811805742
"60%",-5454.74071947456,17356.7649697346
"61%",-5216.64792033039,17519.3875481174
"62%",-5001.01867714637,17677.3096637534
"63%",-4849.63996267092,17817.337707147
"64%",-4681.69994471935,17948.8112125956
"65%",-4503.49351386435,18089.6198857992
"66%",-4291.1741252265,18212.9244103539
"67%",-4085.50532102571,18344.1253548892
"68%",-3891.640228757,18457.9478109582
"69%",-3720.11705445506,18570.5921667713
"70%",-3580.48771988125,18669.7478597061
"71%",-3437.03287951102,18787.0454598235
"72%",-3319.14001233424,18894.0387710084
"73%",-3197.7774343364,19032.2517470655
"74%",-3061.01117581168,19142.5485733153
"75%",-2932.85805168774,19286.9922251157
"76%",-2808.07708802245,19394.7919691889
"77%",-2664.36974993993,19531.2500171913
"78%",-2515.50250188453,19640.770041731
"79%",-2358.80947307011,19760.6387731276
"80%",-2117.48476095836,19872.7125711163
"81%",-1870.33770749452,19984.3904732027
"82%",-1601.61597054735,20093.3216174931
"83%",-1217.73885315234,20228.2150352141
"84%",-935.910381088666,20395.2958942951
"85%",-672.516327549303,20530.2323462074
"86%",-506.45893883394,20703.4541326396
"87%",-379.863188390075,20884.9302351534
"88%",-253.971486848604,21076.6374383287
"89%",-109.66618813476,21277.3917351516
"90%",-23.098983050766,21521.9447084563
"91%",-10.111062879461,21924.5541673451
"92%",-4.41887236185575,22330.5775378194
"93%",1.04131953552643,22678.5121804954
"94%",12.874584980487,23118.1736542269
"95%",62.2199837371261,23907.9811275246
"96%",367.435238395004,24838.4129247805
"97%",947.060621721418,25754.959058709
"98%",1349.98851335054,26727.7940958824
"99%",1707.71990677986,28128.202061834
