"","V1","V2"
"1%",-8971.52393991499,-10483.2994519212
"2%",-7531.61219470425,-9581.71537651743
"3%",-7030.57218157484,-8953.5973294107
"4%",-6591.38556959986,-8085.00874379082
"5%",-5993.16730431819,-7697.34082184705
"6%",-5212.45998567085,-7375.50073455763
"7%",-4593.91746428654,-7095.65260122764
"8%",-4169.39722341708,-6816.28370594202
"9%",-3767.40553635556,-6457.23225552767
"10%",-3454.56153209154,-6195.52318705976
"11%",-3079.70526324755,-5926.70245204142
"12%",-2760.19630219278,-5637.06336435921
"13%",-2387.7474227981,-5407.09077398731
"14%",-2045.46096704098,-5168.85020329308
"15%",-1682.49333781126,-4925.36392914042
"16%",-1344.58202455699,-4700.25730452588
"17%",-1066.03365593349,-4493.36000572025
"18%",-858.453288995886,-4285.68660803878
"19%",-649.304310818657,-4117.53904730799
"20%",-423.625652451837,-3941.71549739528
"21%",-286.44430516123,-3779.09463536384
"22%",-100.976976580125,-3620.44239188771
"23%",-30.7742787645638,-3445.54274233691
"24%",-8.35823596610434,-3304.17879947421
"25%",-0.966540895514348,-3147.44724424993
"26%",2.52412375244811,-3002.99906220901
"27%",11.863447843761,-2855.58379816613
"28%",69.9365635727351,-2733.36163469479
"29%",297.207562915158,-2585.8064603362
"30%",565.129201929774,-2394.9985469504
"31%",1142.00142889215,-2235.11897440918
"32%",1804.18104610506,-2048.9430652786
"33%",2221.46638359442,-1864.34746083041
"34%",2677.83831565576,-1723.78296342958
"35%",3536.72148034722,-1547.26396696958
"36%",4299.06400384552,-1357.0579871236
"37%",5296.81318029134,-1154.27643458207
"38%",5972.78268288207,-929.86860349038
"39%",6317.54428277652,-769.408543824084
"40%",6694.72389328384,-635.483432642321
"41%",7094.03648293595,-497.862324473058
"42%",7400.7968796094,-388.409873460485
"43%",7650.31281522301,-277.361985632071
"44%",7908.80517065603,-206.265397272563
"45%",8102.54450763367,-153.585217361815
"46%",8317.67068077099,-93.3926916001969
"47%",8607.49670935364,-51.3281162167808
"48%",8830.85412017339,-23.0596387085845
"49%",9039.78613486748,-5.86700316395804
"50%",9331.07087853418,-0.168153595688689
"51%",9642.0804795839,25.1186221044297
"52%",9915.27410640757,116.288005063704
"53%",10182.910921647,250.969355451344
"54%",10406.8594377254,380.542567986203
"55%",10722.1151592739,526.119554399256
"56%",10988.302810189,688.079477650163
"57%",11197.4816208327,864.974164458979
"58%",11442.1961841337,1034.16423632718
"59%",11655.3537631527,1215.09629974463
"60%",11900.2823511035,1367.09890118152
"61%",12109.4459049721,1520.34601959048
"62%",12344.2635243861,1659.06376130978
"63%",12576.1064235481,1789.44915598968
"64%",12788.490485685,1923.39272771075
"65%",12976.0723427454,2086.66292359218
"66%",13179.7591830342,2260.00644556078
"67%",13401.1665913512,2432.4031916137
"68%",13625.2544232428,2663.96968916025
"69%",13926.1458142427,2920.71217065666
"70%",14287.2277984498,3274.81653417681
"71%",14592.2310467264,3795.45059890486
"72%",14802.9735176886,4260.40691945024
"73%",15008.2707351886,4629.26284697055
"74%",15242.6488168348,5185.41634655764
"75%",15561.0242735627,5855.3011091968
"76%",15848.8434280682,6240.82601269998
"77%",16100.2409069134,6660.03012380645
"78%",16367.1662263431,7076.15720533592
"79%",16688.3909537651,7484.66629719741
"80%",17048.1890468514,7808.1156935142
"81%",17327.850576145,8093.7128036013
"82%",17614.6033135107,8455.01368864518
"83%",17892.456676461,8771.07370351664
"84%",18158.0871064297,9186.41554123538
"85%",18611.3703792079,9618.56097779
"86%",19101.2203473149,10108.5928047582
"87%",19458.1547150812,10732.371904303
"88%",20058.362720076,11407.285539423
"89%",20455.0195859074,12204.6873677412
"90%",20944.0227368257,13184.8790748529
"91%",21352.1687840107,14467.5385629539
"92%",21793.0223943067,15417.4568039343
"93%",22207.2172341392,18454.5535019799
"94%",22751.935479206,20144.0860592694
"95%",23401.1910056476,25652.0638900622
"96%",24360.1039109326,28431.7058981209
"97%",26437.7870612722,30487.2499827063
"98%",28623.308104121,34161.8089164256
"99%",30295.9787362201,35140.6172778714
