"","V1","V2"
"1%",-7362.39516135,-5375.34092448751
"2%",-6635.58976075549,-4730.53796458706
"3%",-6133.70519560259,-4023.29076059202
"4%",-5518.94446266698,-3555.83072581418
"5%",-4754.50156654435,-2922.24030503925
"6%",-3513.82190184099,-1984.05257389753
"7%",-2003.72956259869,-1278.3606287613
"8%",-1309.2439806112,-951.936455942261
"9%",-898.632029667823,-617.307595080283
"10%",-717.537369944834,-390.875429884203
"11%",-497.227799235486,-171.525755561944
"12%",-266.915150153936,-55.9813022816519
"13%",-81.7002392797722,-24.6377301532949
"14%",-0.621684325908136,-5.13801765801288
"15%",7.63976315222701,0.351606780498626
"16%",17.4503775291243,7.84260332338894
"17%",50.7359046515282,16.2494630096508
"18%",82.7282944797242,32.8090519225356
"19%",169.420221224774,178.816300103112
"20%",643.124036987394,374.116888406683
"21%",1103.43385245648,516.547951495224
"22%",1476.57919677099,651.709412596139
"23%",1849.4159640356,818.797216049195
"24%",2167.04225980825,1061.08892331361
"25%",2454.01166593491,1383.99362584904
"26%",2689.81165626379,1870.16016454699
"27%",2969.1802849351,2260.27573105369
"28%",3198.5421454579,2529.32977237313
"29%",3373.94890481497,2840.632638603
"30%",3505.6755576808,3116.76838630717
"31%",3646.14202596457,3326.76942075526
"32%",3807.36336453953,3535.98323171158
"33%",3945.54296667975,3788.10276290811
"34%",4088.75984378823,4087.1609022221
"35%",4219.0897239026,4382.20458517998
"36%",4346.73607489809,4666.59418766935
"37%",4494.1561831345,4901.02877266233
"38%",4648.19335984424,5156.67130494371
"39%",4835.87519460531,5580.16815214988
"40%",5053.41969453658,6023.71316934175
"41%",5297.34164737437,6654.43551691799
"42%",5461.09619303466,7068.92147597345
"43%",5627.67375213988,7424.53418031771
"44%",5776.36992621391,7723.72546071652
"45%",5965.42458002575,8062.06697407838
"46%",6133.93719163464,8397.1247027326
"47%",6316.27015993256,8709.14308268146
"48%",6485.70007551164,9023.97900854231
"49%",6656.57045699361,9252.58587004726
"50%",6799.46172370625,9606.05589855249
"51%",6959.63894991475,9886.74733241481
"52%",7115.1930513721,10094.2784711525
"53%",7284.640263116,10251.3937211366
"54%",7496.05684065019,10391.5876753264
"55%",7734.56612654912,10524.2111655354
"56%",8049.85943474481,10605.7945783083
"57%",8570.94969211759,10716.9247297364
"58%",9461.72761627347,10825.9013063682
"59%",9900.28106230391,10933.2652900079
"60%",10163.6212690308,11071.0605803768
"61%",10385.5651618903,11180.43015567
"62%",10625.7551731516,11282.5943816021
"63%",10814.2591180266,11398.9835274495
"64%",11047.7959865788,11510.6256141393
"65%",11245.6425469789,11651.659832995
"66%",11443.9883954535,11801.3510646751
"67%",11681.1157093676,11945.9930755649
"68%",12011.9367220562,12092.0812935683
"69%",12345.5640018756,12264.7455245096
"70%",12592.8125895085,12439.0306839401
"71%",12866.2067803939,12691.3920542515
"72%",13163.1911311413,12943.8196516684
"73%",13446.5066534446,13166.9969415234
"74%",13709.9544086977,13396.3260716969
"75%",13990.202177284,13616.241205376
"76%",14244.2700181632,13809.634962678
"77%",14540.3813526624,13970.8907001744
"78%",14834.1399278432,14154.9705391201
"79%",15155.7929826157,14360.6778801484
"80%",15476.2833106851,14586.1869426603
"81%",15807.3377246342,14820.7618184388
"82%",16088.4855084503,15110.4152576378
"83%",16309.7008947287,15432.9313005485
"84%",16520.5641703096,15875.0196327161
"85%",16762.1606070119,16389.219777444
"86%",17008.6561352926,16775.2849141213
"87%",17235.6400191345,17049.9065986342
"88%",17458.7584961235,17292.3083474213
"89%",17755.6704444305,17527.5455034271
"90%",18174.5204878647,17743.89175334
"91%",18814.2293409597,18000.7194244177
"92%",23879.2723916324,18267.1611506226
"93%",24515.4677802417,18606.9048941409
"94%",25171.2335167572,19246.298596327
"95%",26375.3028694658,19910.0460912377
"96%",27275.7875985253,20626.5526814584
"97%",27820.6773545132,21633.5487892533
"98%",28368.6233926138,23151.1622485507
"99%",29157.9212914432,23880.4844577824
