"","V1","V2"
"1%",-107.138488871213,-38594.3709915265
"2%",-61.3205626034567,-33583.7137049055
"3%",-38.1093316730208,-32473.6011830869
"4%",-10.8088409896887,-31726.8734345912
"5%",-0.768617677346637,-30631.171294752
"6%",74.4023771666376,-27935.6123135496
"7%",587.759790891473,-26647.2059621193
"8%",1041.15237145004,-25409.2747073295
"9%",1809.1147659432,-23038.2685878816
"10%",4048.14004367576,-20932.7950922601
"11%",4395.06206879747,-19965.6290727713
"12%",4683.88067471827,-19542.9990375618
"13%",4996.62716136667,-19235.8901549254
"14%",5317.29968301561,-18931.0464525533
"15%",5568.99361222371,-18624.9171712484
"16%",5776.33529855074,-18432.9725232924
"17%",5958.32088448648,-18247.5602174417
"18%",6154.11387649224,-18093.8549457622
"19%",6310.88757179849,-17926.2416208318
"20%",6503.86289722426,-17737.1041992461
"21%",6675.58246488731,-17590.9475545993
"22%",6841.62862370958,-17425.1499087194
"23%",7016.07741138456,-17289.6781907879
"24%",7168.84023462789,-17149.236093731
"25%",7307.16303316488,-17031.7405095861
"26%",7450.15784641825,-16902.0750172045
"27%",7590.64788112737,-16778.8224962348
"28%",7739.54316693209,-16652.9259794285
"29%",7948.30899452528,-16508.7495639209
"30%",8170.42052537456,-16354.879297905
"31%",8329.20440505705,-16206.6319351673
"32%",8487.75816006617,-16055.9851835357
"33%",8628.70490857262,-15903.7325369649
"34%",8766.8050870386,-15794.812642368
"35%",8934.61482013422,-15676.4969394197
"36%",9113.07768682516,-15558.5540502327
"37%",9286.30949954053,-15446.6572002926
"38%",9460.65742376326,-15331.4087349123
"39%",9657.34649600793,-15204.3674378693
"40%",9846.99137549534,-15060.978625291
"41%",10025.0419863019,-14944.1294594792
"42%",10180.8038241525,-14788.5186549527
"43%",10322.7703078783,-14641.0953680073
"44%",10497.0842116875,-14491.5128492532
"45%",10689.9980035451,-14347.3422096714
"46%",10943.6961800907,-14176.5596584797
"47%",11143.0926700746,-13995.7068345048
"48%",11371.9771152015,-13842.9949684385
"49%",11580.1757729658,-13697.6598073866
"50%",11808.6521347423,-13552.120184191
"51%",12023.8851635392,-13423.1133572902
"52%",12254.8090468743,-13273.7691901328
"53%",12506.7564641003,-13149.7734789882
"54%",12755.7503908111,-13028.2236360611
"55%",13023.8947896775,-12899.5897716456
"56%",13277.2089558541,-12750.8523795326
"57%",13524.6670180901,-12625.7411317291
"58%",13787.9557887677,-12443.1237286408
"59%",14169.9562383012,-12186.6208409152
"60%",14475.6836936758,-11908.1657656534
"61%",14699.1322703196,-11549.8934501026
"62%",14956.2175178617,-11205.1138417147
"63%",15152.4632602705,-10827.0666870511
"64%",15316.1987463481,-10237.0127680586
"65%",15479.6464572902,-9632.06288047097
"66%",15607.0660581275,-9230.06718368548
"67%",15751.5160017797,-8399.55965694306
"68%",15879.3290592221,-7721.14832755698
"69%",16008.7273929467,-7019.78675727744
"70%",16190.1528115632,-5457.27644773283
"71%",16346.0529535899,-4740.4992464172
"72%",16497.070852043,-3958.07941274599
"73%",16636.8611255067,-3121.68099495638
"74%",16813.9307376496,-2763.13137038701
"75%",16951.2859425566,-2528.94024611083
"76%",17188.4247824445,-2277.61082966793
"77%",17446.9639178033,-1951.62926533966
"78%",17699.14036262,-1523.15303192302
"79%",17958.9781600548,-957.235041872125
"80%",18295.4049330174,-417.353846254636
"81%",18541.7925962981,-189.122260442324
"82%",18796.6521924256,-61.5074020645236
"83%",19083.8960544698,-36.2250324981012
"84%",19342.3280691199,-18.3153793826708
"85%",19547.6605155705,-3.55233965024167
"86%",19752.5718849235,2.81962162902248
"87%",19911.4329412223,17.3069697065766
"88%",20105.0743917555,114.141120332675
"89%",20308.6124327245,282.979349326672
"90%",20506.1564204055,578.87890584977
"91%",20736.1066303041,976.566428955085
"92%",20943.3410312914,1281.71361280489
"93%",21167.8921430534,1812.12821522572
"94%",21389.0457324696,2217.83246091515
"95%",21647.9072580133,2624.23649927013
"96%",21882.8602703431,3110.84187634199
"97%",22128.6696919062,3597.01691739401
"98%",22524.6038866486,4153.08402249472
"99%",23335.5418927192,4996.57876142054
