"","V1","V2"
"1%",-4337.87529320824,-4854.82938221575
"2%",-3533.94949837526,-3990.17934261252
"3%",-2950.1485813652,-3203.02534867173
"4%",-2518.88668247559,-2454.57354546853
"5%",-2163.34995040455,-1626.50526602299
"6%",-1907.66995693243,-1015.34898944736
"7%",-1670.97633731204,-92.562785880482
"8%",-1426.78451384711,8.28428379389545
"9%",-1185.43487130778,16.2060919586269
"10%",-939.658231021975,35.5987362735391
"11%",-754.941030204006,49.950922759777
"12%",-592.496698590398,76.4516036924866
"13%",-408.628153838848,105.492279435419
"14%",-242.48127666814,149.428742095302
"15%",-118.38090792229,718.930517209249
"16%",-83.837786822088,1189.41626084828
"17%",-60.2527182912502,1569.17232996455
"18%",-43.9040703345761,1894.96671729728
"19%",-20.1569351976312,2165.94835512827
"20%",-4.00259133466669,2470.85821211602
"21%",25.7483357382212,2730.06452245434
"22%",126.96847377059,3032.86250860567
"23%",229.427994500126,3300.53738231195
"24%",332.048669374206,3548.20579188161
"25%",439.432640514613,3826.74600914774
"26%",545.847820892601,4140.03764745863
"27%",682.568389143145,4403.97953224939
"28%",829.201068849032,4658.65004470418
"29%",947.37620003382,4878.05259322932
"30%",1080.19605021917,5093.45602730798
"31%",1223.17031397457,5298.44574419944
"32%",1351.73033504035,5491.77230033456
"33%",1477.41655534125,5700.71337472527
"34%",1606.08352882479,5912.30325645889
"35%",1694.29820226163,6160.56773117644
"36%",1803.94476714849,6422.47050067826
"37%",1941.85933402688,6674.19982434312
"38%",2058.46180519708,7016.42377801323
"39%",2213.02317534265,7447.79963304392
"40%",2348.83290071473,7925.37989306484
"41%",2539.44160326671,8352.32541760182
"42%",2747.58728404114,8699.9082857234
"43%",2906.52299113444,8935.53027424478
"44%",3108.23944130263,9129.1410545494
"45%",3322.68681952851,9344.18560780969
"46%",3573.31207966686,9583.02965624617
"47%",3845.35451300756,9818.47389808733
"48%",4145.36138619572,10023.4453226209
"49%",4689.07043167774,10220.4244908774
"50%",5119.46516860883,10441.0573286968
"51%",5414.71984993036,10682.6117227957
"52%",5686.72405650496,10915.1715142688
"53%",5909.49514631743,11103.8988365353
"54%",6114.72945245221,11317.6811212432
"55%",6303.1047120556,11534.7856782084
"56%",6629.13705565346,11727.8518570453
"57%",6957.88973702561,11958.8092551523
"58%",7355.40735008793,12141.3406048975
"59%",7703.77962972074,12318.1296507754
"60%",8207.0099979892,12498.034263366
"61%",8600.27579814769,12677.2197489705
"62%",8921.3083253301,12900.1442381534
"63%",9251.26281214926,13082.8840087532
"64%",9596.46119390097,13297.0176650877
"65%",9864.26368689237,13514.6247406981
"66%",10166.886031344,13706.3903079242
"67%",10471.3643000053,13935.1915179048
"68%",10899.3378121896,14206.3344037526
"69%",11465.2003626409,14442.8615411476
"70%",12068.0977157725,14732.8126086622
"71%",13189.5625349796,15015.2772040586
"72%",14886.5391416158,15324.5391427515
"73%",16898.8250531572,15595.2296917995
"74%",18342.7742329349,15905.8629132224
"75%",19440.8557593757,16289.4330137282
"76%",20622.8631731444,16618.1244558188
"77%",21291.7159982626,16951.9928579132
"78%",21641.3475337488,17282.7618174887
"79%",21956.0577261784,17539.6720103025
"80%",22283.8879706955,17807.7565449656
"81%",22691.7241330458,18178.026019029
"82%",23053.2191477049,18634.1147258907
"83%",23680.1819790469,19245.7698020391
"84%",24594.4931686692,19738.6225505998
"85%",25080.1447465102,20053.0290642994
"86%",25315.5417715972,20336.2347222778
"87%",25570.0774285102,20698.2755883333
"88%",25801.3241482861,21162.9189629246
"89%",26010.9043189235,21668.2865027166
"90%",26243.6336592764,22060.3171132866
"91%",26477.9849004549,22398.037819114
"92%",26837.2966781334,22650.943443706
"93%",27368.7948580781,22890.873069881
"94%",28061.1308466296,23160.0701680113
"95%",28716.45084074,23431.4393848323
"96%",30440.6149725677,23849.405921451
"97%",31461.730109569,24174.2577330743
"98%",34971.0086423381,24512.543505842
"99%",38608.8016610221,25281.3852176631
