"","V1","V2"
"1%",-0.628995271559153,-0.102294958733149
"2%",-0.608210558712299,-0.102294958733149
"3%",-0.575939088946243,-0.0645966003992973
"4%",-0.556526645166241,-0.050119462413598
"5%",-0.542420374793156,-0.0451557263847623
"6%",-0.460622674304355,-0.0430865444107118
"7%",-0.354097139875907,-0.0418149934819432
"8%",-0.348381084930178,-0.0402758349147849
"9%",-0.345145108518436,-0.0387756689371422
"10%",-0.343440086007301,-0.0372532221188642
"11%",-0.341548847180565,-0.0360898688329252
"12%",-0.339771154272397,-0.0350743120534864
"13%",-0.338471755963292,-0.0342642141846434
"14%",-0.337445474278659,-0.0334478120555357
"15%",-0.336076724354268,-0.0324074220762498
"16%",-0.335216222483425,-0.031482490030567
"17%",-0.334146932464586,-0.030818037088208
"18%",-0.333408454644669,-0.0302287610524468
"19%",-0.3326684543603,-0.0294148569050802
"20%",-0.332001283844219,-0.0290040427368979
"21%",-0.33131387550639,-0.0283013644182257
"22%",-0.330823826576096,-0.0279820886195221
"23%",-0.330253902388727,-0.0273801919778116
"24%",-0.32960130404409,-0.0270481713022243
"25%",-0.329146754546387,-0.0265486251879844
"26%",-0.328577933923501,-0.0261042481932835
"27%",-0.32808844785812,-0.0255413051540787
"28%",-0.327752931483164,-0.025077870750572
"29%",-0.327299547020715,-0.0244657997519431
"30%",-0.32687732979888,-0.0240771331159625
"31%",-0.326383749610036,-0.0236800848866214
"32%",-0.325885273183342,-0.0233176589387563
"33%",-0.325417558289693,-0.0230207031930356
"34%",-0.324850915081605,-0.0227127967994914
"35%",-0.324393329893343,-0.0222238133333653
"36%",-0.323937877855149,-0.0218772310471934
"37%",-0.323466110789878,-0.0213879059697893
"38%",-0.323077764122247,-0.0210670974054341
"39%",-0.322693408758389,-0.0207197632761305
"40%",-0.32233768909328,-0.0203479351649753
"41%",-0.321896114482833,-0.0199351262352681
"42%",-0.321559082075567,-0.0195029027654338
"43%",-0.321023785436828,-0.0190416697237061
"44%",-0.320723878324588,-0.018610403900801
"45%",-0.32033541986567,-0.0181317778893719
"46%",-0.319864918260122,-0.0178637424869459
"47%",-0.319358483789303,-0.0173978948945197
"48%",-0.318982485505863,-0.0170306421540676
"49%",-0.318669608953851,-0.0166775123807226
"50%",-0.318337954248199,-0.0162160732479886
"51%",-0.318014985683585,-0.0158462094252044
"52%",-0.317628137705981,-0.0154761673340907
"53%",-0.31723850067339,-0.0151658093415706
"54%",-0.316837600017769,-0.0148946551205861
"55%",-0.31638569390181,-0.0144170173413583
"56%",-0.316088951456253,-0.0140988952426927
"57%",-0.31563620488965,-0.0136440917705723
"58%",-0.315292824845204,-0.0131390245534001
"59%",-0.314901438176121,-0.0127693140568981
"60%",-0.314470581684057,-0.0125108924459658
"61%",-0.314028346963019,-0.0121242389517301
"62%",-0.313367675862399,-0.0116795453889162
"63%",-0.312980463315113,-0.0112398832492812
"64%",-0.312569038965193,-0.0107725438368422
"65%",-0.3122136663425,-0.0103035891084706
"66%",-0.311866387913426,-0.00984393232532873
"67%",-0.311462595951722,-0.00943452094251025
"68%",-0.310984006986905,-0.00883020950284273
"69%",-0.310623936653829,-0.00845305872731765
"70%",-0.310138771481131,-0.00794334945612042
"71%",-0.309605009397151,-0.00755877530783645
"72%",-0.309019428574403,-0.00690418541874407
"73%",-0.308520198302528,-0.00619520072404078
"74%",-0.308098423499273,-0.00569124785427856
"75%",-0.307619227644706,-0.00515387692284361
"76%",-0.306984403016552,-0.00464950299776225
"77%",-0.30651533903755,-0.00407619566740037
"78%",-0.305990059235516,-0.00369267481047672
"79%",-0.305621241494939,-0.00321314619679187
"80%",-0.304948699341244,-0.00271595776502806
"81%",-0.304410196338855,-0.00237630913536663
"82%",-0.303941178309899,-0.00169896915110626
"83%",-0.303317758721981,-0.000936499739977703
"84%",-0.302610345262959,-0.000283017644277196
"85%",-0.301848063875428,0.000429086910858209
"86%",-0.301243517066907,0.00122577217673441
"87%",-0.300683321782217,0.00209445391580744
"88%",-0.299863081837444,0.00293877879197323
"89%",-0.298928267450274,0.00391161297696936
"90%",-0.298339059994012,0.00473645875698273
"91%",-0.29748247743991,0.00554310323970582
"92%",-0.296226062785994,0.00651317316249732
"93%",-0.295286832838322,0.00769619952436835
"94%",-0.294165195960714,0.00894831770291343
"95%",-0.293016941126828,0.0103209976359671
"96%",-0.291178396901308,0.0122409364293385
"97%",-0.288557069742525,0.0143397340316142
"98%",-0.285749268801423,0.0178208305263496
"99%",-0.280177590705321,0.0234522782362871
