"","V1","V2"
"1%",-2463.31188403723,-7016.19363263663
"2%",-2100.57350602499,-6709.38361776713
"3%",-1858.45962853102,-6359.35377877679
"4%",-1642.41816624956,-6089.97238075266
"5%",-1420.90938876997,-5855.31987305082
"6%",-1194.3198615099,-5640.33973231933
"7%",-963.562066988882,-5425.56122851959
"8%",-714.536649982223,-5224.90270619756
"9%",-512.997674324118,-4982.22080452218
"10%",-329.151607126042,-4772.15950567307
"11%",-129.01480409878,-4502.51805041179
"12%",-16.8810172537512,-4199.84108671393
"13%",-5.00627517984912,-3940.83445649895
"14%",1.29704962417571,-3636.21000301644
"15%",7.98373526702502,-3368.41474830654
"16%",31.937313372256,-3071.00347703592
"17%",80.1295058389919,-2804.5242567063
"18%",128.05701030743,-2584.09416801632
"19%",211.112192536961,-2364.81097937412
"20%",347.997166111702,-2074.50415788049
"21%",610.154810718298,-1753.51537963105
"22%",850.297479422537,-1516.0773804624
"23%",1144.61750614946,-1244.45270601897
"24%",1439.17706149839,-972.017735655157
"25%",1844.8770255234,-750.509912124501
"26%",2241.84590666712,-613.2136970828
"27%",2610.07243602009,-503.12478883539
"28%",3053.99330543656,-381.557252147431
"29%",3480.09699525763,-295.701165458573
"30%",3810.52590703019,-221.545775546708
"31%",4197.88780869607,-138.526321218044
"32%",4504.43438821261,-73.4168726773919
"33%",4810.06284026177,-56.0238536958231
"34%",5109.99632431071,-40.4144186276803
"35%",5325.10523433504,-28.6359499264444
"36%",5579.06988452415,-11.7150686489716
"37%",5846.15041356668,-7.6318878738094
"38%",6073.91612265733,21.7854158047648
"39%",6261.91870164247,168.953042333541
"40%",6449.00488646851,339.099109788871
"41%",6647.65009924304,514.736116835593
"42%",6820.83058451795,702.148363747326
"43%",6999.81585751108,906.748072254137
"44%",7204.61349676305,1117.33021738594
"45%",7396.91055360911,1332.48110705426
"46%",7563.24557754887,1479.82599765851
"47%",7753.48634767806,1628.64640690249
"48%",7970.2408132301,1787.94216385475
"49%",8208.06126759844,1984.15069835726
"50%",8410.98512089713,2169.41791297419
"51%",8616.29412879954,2360.38322999465
"52%",8785.97597568809,2556.40844682591
"53%",8967.39598656409,2763.69835703193
"54%",9158.2926972252,3007.68322672323
"55%",9360.57197698064,3280.34725321961
"56%",9504.41011638188,3500.83991114894
"57%",9662.53700158646,3762.35005537308
"58%",9816.46134797489,4110.9659044303
"59%",9943.14366458143,4527.04900700347
"60%",10074.7451128607,4880.57616540818
"61%",10233.9826484195,5152.91014581111
"62%",10429.7660467313,5366.15864218921
"63%",10654.7900404882,5630.75810804524
"64%",10971.3804382923,5895.37079889545
"65%",11310.8116288509,6171.33059832953
"66%",11569.3251023553,6556.38583473584
"67%",11978.2637971448,6945.35649873407
"68%",12294.4148575006,7718.27784626961
"69%",12724.7202555776,8340.39713588285
"70%",13180.1354479496,9024.2226047928
"71%",13718.5057391889,9844.85052503553
"72%",14290.8709464846,10518.7063099236
"73%",14834.2083332032,11511.7023690588
"74%",15302.600849002,12330.2337828494
"75%",15648.9961489142,13041.5430432263
"76%",16082.1128015646,13471.6670807632
"77%",16537.4297858514,13748.7697130703
"78%",16887.3692326874,14079.2794197102
"79%",17209.8847068668,14411.9882822735
"80%",17707.2350280688,14717.3998894914
"81%",18471.0183558706,15041.9256703411
"82%",19028.047175783,15373.4294641039
"83%",19640.6278926717,15814.8540016381
"84%",20884.1416506092,16408.7926734215
"85%",21696.5643418655,16703.1578671582
"86%",22602.2891637427,16962.3752713567
"87%",28319.6354895424,17287.7928387595
"88%",30152.8781995134,17569.4516070201
"89%",33778.9048754069,17828.2438514006
"90%",34418.8619031948,18075.6491833623
"91%",34948.8830641928,18291.9031772594
"92%",35538.1573785636,18528.9198656156
"93%",36164.6357494168,18755.2955763218
"94%",36844.8397140457,19072.8043502903
"95%",37935.0639633282,19348.0612399065
"96%",38979.0376459154,19643.7013002919
"97%",39800.7294617502,19941.7440178087
"98%",40500.4356880087,20217.7578402399
"99%",41221.8254243882,20722.6763045135
