"","V1","V2"
"1%",-16118.2933768115,-11300.3814305868
"2%",-15354.6928326009,-10694.6672609308
"3%",-14336.5996813782,-10084.3623387153
"4%",-13620.7148429006,-9725.69824799677
"5%",-12840.7597034372,-9408.73146496445
"6%",-11958.6860328642,-9100.77071185068
"7%",-11419.7789009342,-8676.95898177132
"8%",-10973.2210207382,-8324.41153061938
"9%",-10686.0778294484,-8014.20374693833
"10%",-10474.1008434958,-7813.5475927189
"11%",-10272.7752644436,-7596.44923571101
"12%",-10076.9821027553,-7414.17164359445
"13%",-9890.78619312932,-7191.87567185594
"14%",-9710.86377173451,-6947.31112894008
"15%",-9560.86711764178,-6724.17402600838
"16%",-9420.10532014796,-6425.09472239585
"17%",-9299.35279704268,-6132.90936232412
"18%",-9184.13884308086,-5900.73918720354
"19%",-9057.49021774809,-5690.38776175654
"20%",-8928.03585261018,-5444.13949048093
"21%",-8817.48558208939,-5239.1352990305
"22%",-8693.82152521766,-4984.86796536816
"23%",-8551.67947756521,-4743.74638621743
"24%",-8429.59446024995,-4465.70803619127
"25%",-8328.98127078865,-4169.66694401175
"26%",-8233.56762846757,-3793.44826136426
"27%",-8121.28174627087,-3271.29482980902
"28%",-8016.22840091054,-2831.69853665075
"29%",-7919.90593726728,-2110.15716022183
"30%",-7834.05349626811,-1404.75924179531
"31%",-7737.09574796046,-775.964235174748
"32%",-7631.78647568945,-374.80031688615
"33%",-7532.81102569507,-6.49469072234508
"34%",-7445.70134758855,5.49846868273541
"35%",-7349.69908775901,11.6144719724914
"36%",-7263.18830266747,54.6583421528056
"37%",-7168.39305037869,91.4017622278239
"38%",-7072.00041310063,169.69593770728
"39%",-6981.85890863635,205.134008142867
"40%",-6877.77682152117,326.068406122326
"41%",-6791.36362490357,478.15197072
"42%",-6679.20678709421,888.081041339817
"43%",-6575.1941115219,1525.80817860743
"44%",-6475.57873587982,1947.4844873492
"45%",-6374.86952988166,2520.33605852476
"46%",-6255.98669067003,3398.39400752461
"47%",-6118.9930125765,4123.66255735032
"48%",-5970.12415970108,5246.9001323057
"49%",-5794.59922037014,8723.42081318992
"50%",-5606.84728772601,10074.9542773957
"51%",-5370.40264114228,12890.8598162249
"52%",-5167.72293286759,14110.1297427521
"53%",-4988.16849546003,15458.5754241567
"54%",-4776.37426773257,16013.6899494273
"55%",-4573.25088956092,16492.0969616774
"56%",-4302.77541707193,17039.7920300803
"57%",-3963.14411168037,17524.1425930173
"58%",-3710.66724369583,17974.9018559392
"59%",-3435.83211247427,18402.7823126016
"60%",-3210.09129983334,18841.4760141769
"61%",-3029.7434831978,19556.6700257078
"62%",-2862.98677582918,20118.9847551581
"63%",-2682.05525696994,20518.4054976506
"64%",-2485.73064552254,20791.3135173724
"65%",-2312.13160544505,21035.5320028857
"66%",-2136.91155502637,21264.0917117077
"67%",-1984.70818424609,21546.691478095
"68%",-1851.3223380944,21852.7258906735
"69%",-1692.27757143864,22123.6140677299
"70%",-1530.64206614303,22352.2285652599
"71%",-1355.64603821902,22630.2401318155
"72%",-1201.66696183572,22832.7401870957
"73%",-1060.54701157014,23017.1679366874
"74%",-899.672970764699,23240.8849569873
"75%",-723.682382992628,23484.3137725953
"76%",-534.316178314174,23674.2731864795
"77%",-375.607483701979,23859.0015795313
"78%",-199.018872960655,24038.7250779822
"79%",-132.360687356457,24212.4632759787
"80%",-79.8324690772158,24371.3894673027
"81%",-31.0026236979747,24538.517341412
"82%",-8.38966079636694,24682.4987079479
"83%",1.34033571620989,24841.3901945112
"84%",19.0690189033988,25034.2375838854
"85%",29.7756520185077,25204.0151843543
"86%",80.6254952541656,25471.3464437225
"87%",247.223213557591,25751.2431470909
"88%",443.374498713795,26007.4724971368
"89%",650.406069935678,26202.8505873291
"90%",863.728456106007,26410.9594710062
"91%",986.702484028831,26609.4524142871
"92%",1181.22942006825,26925.721456473
"93%",1335.80191153151,27362.1223685643
"94%",1503.15497972984,28266.04734251
"95%",1689.17467665227,29061.8777576893
"96%",1974.39700709607,30039.3467866443
"97%",2445.25035909274,31195.1515027642
"98%",3138.52402897873,32298.6577908999
"99%",3875.48549773513,33269.8825790967
