"","V1","V2"
"1%",-3294.8207932284,-15735.897642044
"2%",-2665.41201906113,-14711.9662766009
"3%",-1946.3544446199,-14035.6427729194
"4%",-1472.77835359377,-13265.552008428
"5%",-1100.15468475285,-12573.2968847829
"6%",-833.893758131076,-12005.0601046327
"7%",-593.44689491391,-11483.2712426967
"8%",-340.80187211666,-10987.8566387147
"9%",-121.045373501286,-10470.7538233193
"10%",-14.3362252800117,-10010.8896806803
"11%",0.710552094357384,-9547.71168441723
"12%",15.288577931498,-9159.90431719784
"13%",24.4016942853943,-8867.90889987507
"14%",48.7845727435322,-8593.48008745438
"15%",110.518365309713,-8351.84018779926
"16%",157.725494719211,-8056.29232982496
"17%",216.141068373734,-7755.45948087897
"18%",414.67042207514,-7328.54003046685
"19%",667.782952956656,-6841.6020526931
"20%",984.449906262604,-6599.66632525163
"21%",1220.31688316336,-6408.2834818777
"22%",1527.56502666461,-6225.4399197901
"23%",1727.55461873829,-6043.57170296278
"24%",1942.84454330127,-5834.45725795038
"25%",2137.2344327416,-5532.63584912395
"26%",2312.09683218974,-5202.66588268335
"27%",2476.75392800411,-5000.94438537086
"28%",2672.32962576194,-4766.61234606779
"29%",2851.63327149214,-4461.92532919549
"30%",3003.21406415231,-4203.5541295644
"31%",3126.76722811025,-3864.93155090268
"32%",3276.66012948346,-3498.45191082509
"33%",3404.91053872686,-3051.55309362028
"34%",3543.70690274502,-2736.8349739471
"35%",3687.52551837451,-2446.6714122561
"36%",3810.4399806458,-2084.13724167701
"37%",3954.94456158567,-1792.48305729147
"38%",4075.7262819155,-1261.63584282242
"39%",4178.56727320447,-699.132018465413
"40%",4287.06719646484,-324.288490469807
"41%",4390.55902677247,-176.788597664349
"42%",4514.51066427764,-78.6258304074427
"43%",4623.28024459868,-54.6327568489555
"44%",4765.65819938788,-24.5194024630888
"45%",4895.94889982549,-11.7485179842413
"46%",5062.54194076166,-3.4166507018714
"47%",5208.89328033901,4.86662188661464
"48%",5393.4603747123,29.2244358405206
"49%",5542.83605651644,185.522997663643
"50%",5669.5929270508,491.910221646344
"51%",5868.50390029652,903.861595002617
"52%",6140.70589006369,1261.6892795257
"53%",6472.28039408969,1715.39228168649
"54%",6749.18581409778,2099.11578057516
"55%",6963.19316933808,2560.52868345646
"56%",7148.07289585678,3082.6864814465
"57%",7327.08333311165,3538.97966464091
"58%",7509.79851946467,4060.27854851391
"59%",7695.80066411695,4919.07787570397
"60%",7888.92292465712,6160.87823179403
"61%",8108.663843608,6568.36703792096
"62%",8298.18593483917,6835.54347439374
"63%",8480.54913458531,7135.028349998
"64%",8676.71164323439,7378.30931052213
"65%",8851.20203791978,7594.82590547202
"66%",9016.41160835355,7796.69182327195
"67%",9162.9560432036,7972.20789108983
"68%",9317.46549072768,8198.6099722421
"69%",9459.63676615952,8407.00345373052
"70%",9607.2484813904,8664.72129217997
"71%",9739.54994915746,8919.44960873602
"72%",9872.36524210365,9177.11263014403
"73%",10029.2877436451,9393.42428409466
"74%",10221.1185170388,9679.93703672959
"75%",10425.2681131478,9995.30339230301
"76%",10570.230932451,10308.357862522
"77%",10737.6596990047,10637.3903224365
"78%",10929.3298633093,10994.1305918536
"79%",11134.6985030776,11302.8657398104
"80%",11282.879627476,11515.9321508197
"81%",11418.9124306092,11747.182012556
"82%",11577.1489940302,11929.526792617
"83%",11700.5063668963,12127.4229571917
"84%",11875.7386899964,12353.1040070383
"85%",12019.1356645016,12628.3159565229
"86%",12158.2553491641,12910.5157646888
"87%",12313.254562211,13291.4156365699
"88%",12450.6658140214,13739.5256471502
"89%",12581.1494983697,14216.5481980954
"90%",12726.8643177328,14565.7383215293
"91%",12863.0747144458,14808.8767763127
"92%",13042.9337701833,15157.5046543517
"93%",13209.3312535441,15493.9708708734
"94%",13416.3123862113,15819.833017038
"95%",13613.8872055667,16236.8764162237
"96%",13845.8059707088,17080.1084539429
"97%",14072.1112379291,17851.5140686257
"98%",14353.0177748039,18628.2980040453
"99%",14829.4004582673,19483.0406380753
