"","V1","V2"
"1%",-0.728732048485693,-1.22693447763274
"2%",-0.725904160135945,-1.22693447763274
"3%",-0.709047711754793,-1.08768574004249
"4%",-0.642704104939878,-1.03675174874143
"5%",-0.59105705838011,-0.896546230352189
"6%",-0.530485206064303,-0.736789817687694
"7%",-0.52717893156772,-0.729906263303178
"8%",-0.523009039304836,-0.724898745732343
"9%",-0.520631999139743,-0.721423526418509
"10%",-0.518339554189252,-0.719716178656152
"11%",-0.51628154343366,-0.718233063986117
"12%",-0.514482993887547,-0.716359012744819
"13%",-0.513019574997668,-0.714548749811869
"14%",-0.511479607856033,-0.712958615048312
"15%",-0.5102775103273,-0.711135912572292
"16%",-0.509265058804002,-0.70999157070908
"17%",-0.508269453361864,-0.709075521284084
"18%",-0.507265029902489,-0.708272247554656
"19%",-0.5063434521447,-0.707262385576546
"20%",-0.50549827429471,-0.706629378653421
"21%",-0.504642057431202,-0.705512819114189
"22%",-0.504006971477138,-0.70470381329841
"23%",-0.503472625063322,-0.703735607388408
"24%",-0.502890649375908,-0.702736940252076
"25%",-0.502149658482776,-0.702185772815863
"26%",-0.501409463260764,-0.701364167493859
"27%",-0.500596911724056,-0.700851968449255
"28%",-0.499710038117003,-0.699751603668237
"29%",-0.498950395837743,-0.698663561017617
"30%",-0.498110565353243,-0.6977071340764
"31%",-0.497468513900636,-0.697039244057026
"32%",-0.497013927868136,-0.696420634186184
"33%",-0.49665830007746,-0.695836668298584
"34%",-0.495756129562265,-0.69538957337038
"35%",-0.495148840381536,-0.694637083180881
"36%",-0.494822742611974,-0.693896905152978
"37%",-0.494330849920495,-0.693200237352332
"38%",-0.493946446289869,-0.692531340683123
"39%",-0.493503156182196,-0.6917548949167
"40%",-0.492969771078964,-0.691214327413467
"41%",-0.492366189016004,-0.690750117393007
"42%",-0.491817602979723,-0.690087005388993
"43%",-0.491119665028621,-0.689354592752812
"44%",-0.490522919571497,-0.688437407632172
"45%",-0.49017878015299,-0.687969947423521
"46%",-0.48974736938999,-0.687371865653943
"47%",-0.489188653239163,-0.686800109451641
"48%",-0.488795363561434,-0.686244513689907
"49%",-0.48844653474771,-0.685787352428683
"50%",-0.487828027379616,-0.685245185236356
"51%",-0.487394780147169,-0.684756067646257
"52%",-0.486912721301696,-0.684104816358374
"53%",-0.486600272212413,-0.683599857521953
"54%",-0.486191183363593,-0.682998942055916
"55%",-0.485617626040385,-0.682691113704463
"56%",-0.485056986016477,-0.681741307762914
"57%",-0.484754047383426,-0.68111261392152
"58%",-0.484098433823474,-0.680496586113949
"59%",-0.483653831353345,-0.679965435129237
"60%",-0.4830826539122,-0.679152726083585
"61%",-0.48249479385316,-0.678491484162958
"62%",-0.481706474221941,-0.677907865709724
"63%",-0.481110125934294,-0.677384445293638
"64%",-0.480637806865745,-0.67665425255852
"65%",-0.480016361714217,-0.676085774513558
"66%",-0.479463101039101,-0.67520190603843
"67%",-0.478771133720292,-0.6746033417334
"68%",-0.478158184047694,-0.673866186008391
"69%",-0.477799738515442,-0.673359260491604
"70%",-0.477368022613535,-0.672441307986754
"71%",-0.476761052023695,-0.671834636505506
"72%",-0.476271486595698,-0.671250695781158
"73%",-0.475429947755713,-0.670710977106586
"74%",-0.474877545733078,-0.669995352105158
"75%",-0.474238546111484,-0.669284865229082
"76%",-0.473651388575415,-0.667930306650252
"77%",-0.472980618547232,-0.667430024770159
"78%",-0.472357455641437,-0.666603259326772
"79%",-0.471620025633386,-0.66576052875574
"80%",-0.471133604735754,-0.664785553729873
"81%",-0.470403180641184,-0.663956401504106
"82%",-0.469876553486227,-0.662962679723323
"83%",-0.469314651953396,-0.662316173805402
"84%",-0.468667367315505,-0.661639249545767
"85%",-0.467876032395608,-0.661014791843567
"86%",-0.467286849932812,-0.66007843935372
"87%",-0.46623862697667,-0.65910939660988
"88%",-0.465556950166536,-0.657804467398569
"89%",-0.464604881483287,-0.656860034286057
"90%",-0.463625245769949,-0.656018208509575
"91%",-0.46247271806046,-0.654537436052882
"92%",-0.461106332917385,-0.653356676199871
"93%",-0.460253578521141,-0.65171456588731
"94%",-0.459026719349408,-0.650023496716436
"95%",-0.457574559754877,-0.647522671605242
"96%",-0.455691011077989,-0.644839582604039
"97%",-0.452938188820003,-0.641373110240789
"98%",-0.449012896809673,-0.63846568930754
"99%",-0.444228867248131,-0.631311701974674
