"","V1","V2"
"1%",-8514.71414871625,-33949.7201528987
"2%",-7877.90753440151,-33407.1079405184
"3%",-7306.71351855004,-32712.8975303258
"4%",-6811.43435194463,-32183.4526429949
"5%",-6423.60452246292,-31696.142261308
"6%",-6111.49188656397,-31025.9777017315
"7%",-5832.25411481765,-29996.6275154802
"8%",-5552.82716423641,-29217.615395418
"9%",-5200.9553841075,-28853.0507582708
"10%",-4889.81393129624,-28439.3986779171
"11%",-4509.73884573219,-27735.5349753569
"12%",-4248.35794251779,-26685.2968225804
"13%",-4033.47396579723,-26025.5637098748
"14%",-3845.81489847775,-25402.7369349497
"15%",-3638.02057962102,-25019.6733083512
"16%",-3463.24807521796,-24788.8833763494
"17%",-3269.68887180059,-24565.341088431
"18%",-3091.58212703555,-24304.7098299831
"19%",-2894.8332251802,-24061.4484948935
"20%",-2750.28383291373,-23859.9955448163
"21%",-2602.41082200481,-23687.0339737311
"22%",-2425.99405060612,-23517.5617477062
"23%",-2265.07421714675,-23308.4383664282
"24%",-2121.355237307,-23115.6312082966
"25%",-1971.98294276334,-22984.2143368398
"26%",-1796.93214193254,-22858.6629149417
"27%",-1624.983011735,-22731.6074387987
"28%",-1425.9796593226,-22619.628998565
"29%",-1266.82325941281,-22494.7804397278
"30%",-1136.60824901498,-22378.2249979769
"31%",-1002.81148315754,-22258.1604619693
"32%",-879.898841495464,-22165.3684511935
"33%",-773.622664509752,-22059.14109879
"34%",-646.064303728835,-21958.5909224848
"35%",-544.02813944326,-21849.3989607732
"36%",-437.05790092744,-21743.2661745017
"37%",-325.138022437117,-21628.0165912552
"38%",-215.203825490544,-21520.0814707311
"39%",-84.4694202827432,-21427.5659212751
"40%",-17.5026332022709,-21325.2237660553
"41%",-8.34299658931185,-21209.9887695
"42%",-1.5093325757268,-21107.0065996307
"43%",3.15451256303878,-20977.8254037901
"44%",57.3262011420057,-20851.409121627
"45%",129.31454269463,-20731.7373744967
"46%",196.036790845539,-20607.1461205457
"47%",253.257561134592,-20502.1436396191
"48%",343.172176142973,-20373.560951275
"49%",473.65048549628,-20238.4470343991
"50%",572.176204274454,-20080.6013898576
"51%",668.401269461958,-19914.843033382
"52%",812.0737155134,-19736.0907722211
"53%",979.574597511675,-19551.2915783773
"54%",1166.73209399685,-19371.4882461983
"55%",1319.68121416331,-19188.9132485253
"56%",1514.09662392962,-18976.9799517927
"57%",1712.61236346773,-18742.4406255486
"58%",1940.82021627778,-18509.6543340728
"59%",2151.5729702005,-18275.3553383952
"60%",2351.31010171043,-18011.7415773148
"61%",2619.45620646918,-17725.4644169822
"62%",2910.66856293792,-17265.6810998435
"63%",3198.8872204791,-16639.2979660365
"64%",3516.29053330585,-16162.514751864
"65%",3826.19670523924,-15737.0798938897
"66%",4157.68581909493,-15423.2308551279
"67%",4417.25189646767,-15182.6737483133
"68%",4645.32820318742,-14911.453404187
"69%",4862.60508285377,-14701.1125826083
"70%",5160.40087365692,-14459.2698802419
"71%",5521.04557678381,-14199.3925890207
"72%",5963.24114778651,-13939.8276420976
"73%",6789.94947256877,-13604.2010220267
"74%",7903.55195830977,-13295.6034284049
"75%",8734.64864134803,-12566.9968354899
"76%",9240.35924969279,-12098.7612850512
"77%",9767.60720510639,-11607.3061826748
"78%",10324.3918690034,-11167.942933847
"79%",11200.5265176939,-10708.374775501
"80%",11789.0789387054,-10152.043723584
"81%",12197.7135355739,-9101.49871520645
"82%",12762.3969855439,-8238.02493761608
"83%",13253.1116713513,-6476.4683965901
"84%",13810.9255659278,-5168.43177168991
"85%",14335.4230714624,-4202.10188130068
"86%",14634.5459686162,-3434.01599247568
"87%",14924.9613206586,-2839.24744443125
"88%",15234.6315490791,-2330.63668362555
"89%",15483.6643322591,-1481.14610607779
"90%",15803.0238392919,-651.277586176647
"91%",16248.2803393502,-361.403091633437
"92%",16647.6851794664,-123.421704128111
"93%",17037.79924937,-35.6045498136038
"94%",17440.0991165384,-18.3652957872867
"95%",17890.5315563354,-8.12296008436519
"96%",18391.1185151039,-1.91659002972001
"97%",18964.795910284,11.1087458786776
"98%",19449.5368852256,33.2180442753312
"99%",20407.2226637681,150.650019847981
