"","V1","V2"
"1%",-69539.0651593115,-204.557435459654
"2%",-69069.3807806791,-28.329105572204
"3%",-67240.0838458537,-2.87239721345334
"4%",-66193.8392966812,4.73704513503642
"5%",-65455.1919884581,36.5915432053026
"6%",-64849.2193092727,58.7801354219032
"7%",-64469.3212290058,122.923497537829
"8%",-64195.5539557472,231.626543904764
"9%",-64029.8122715866,660.289380565522
"10%",-63844.6612197792,1345.19813033381
"11%",-63674.8537703461,2221.12163345602
"12%",-63502.1919113892,3578.4077744905
"13%",-63313.0139316553,4784.93279164687
"14%",-63117.4368745842,7278.39026522394
"15%",-62930.4911748352,7935.51755989851
"16%",-62729.2407196151,8755.1456145604
"17%",-62543.4747644419,9462.22447937673
"18%",-62358.3189810055,11579.3982250745
"19%",-62166.3233573976,13184.3511432654
"20%",-61976.2212781461,14019.3810344763
"21%",-61790.09502427,14606.2087707019
"22%",-61581.9933667161,15131.0619002881
"23%",-61362.3445815214,15977.7537250924
"24%",-61119.6339355829,16751.8492732135
"25%",-60903.1991152734,17192.0045820839
"26%",-60676.5848177521,17640.6034451646
"27%",-60445.7618352122,18125.1324654308
"28%",-60139.4847271355,18665.4053608677
"29%",-59734.2142134927,19188.0308764006
"30%",-59423.2774593993,19884.1893801949
"31%",-59151.1167538502,24493.4668878948
"32%",-58801.5870229866,26414.842594534
"33%",-58461.4928552721,27608.3757231824
"34%",-58000.2189295968,28438.3682288471
"35%",-57517.5520671911,29795.6709510121
"36%",-57083.6742681267,31159.9084635097
"37%",-56671.1361456092,32298.693686063
"38%",-56374.3427566276,35680.3500767604
"39%",-56081.8937536754,41149.5704287001
"40%",-55824.6271096401,44349.5172290019
"41%",-55554.6601151109,45213.8068061593
"42%",-55287.4763327833,45688.7637630356
"43%",-55046.7483955393,46239.9392366566
"44%",-54838.7458798238,46739.4160702868
"45%",-54631.7656766542,47366.4414671989
"46%",-54381.8383356354,47873.62497425
"47%",-54132.6365421496,48244.0700874303
"48%",-53873.5653446491,48575.3667346527
"49%",-53281.6679808446,48945.4040073599
"50%",-52646.1435403595,49549.8027074132
"51%",-51161.0772415166,50412.3565184216
"52%",-50123.3920431855,51060.8324706933
"53%",-49249.112350824,51487.0886608687
"54%",-48591.7796652191,52036.1464967741
"55%",-46157.5823872204,52693.4797600994
"56%",-44749.4727999872,53319.9827143183
"57%",-44148.8558384509,53981.9230742015
"58%",-43676.5400640815,54278.5847051197
"59%",-43198.314686628,54703.4932835709
"60%",-42507.4299312493,55066.7532763646
"61%",-41969.4602677417,55522.3284087829
"62%",-40921.0809695415,55838.4067491868
"63%",-37347.190365153,56254.3458352833
"64%",-36339.7301747828,56796.7630833646
"65%",-33426.7851871927,57737.2027644702
"66%",-31036.9063131693,58504.1838218388
"67%",-25870.1769939025,59113.8815128579
"68%",-21448.7587319358,59515.6813159556
"69%",-19636.7952889444,59847.4856928375
"70%",-14866.8678728517,60145.4433582888
"71%",-14007.8314392269,60468.927856885
"72%",-12947.3505101749,60788.4642069327
"73%",-11511.9783393984,61177.2194135699
"74%",-10741.1450862376,61464.1220599844
"75%",-10213.5796559278,61713.7484339401
"76%",-9697.04841339943,61930.08883072
"77%",-9114.573218515,62119.5858950907
"78%",-8189.26476950772,62277.8078345095
"79%",-7534.34145151651,62453.0988318923
"80%",-7180.4708568916,62597.1998279112
"81%",-6789.02496032738,62741.8593772228
"82%",-6383.76532334184,62878.3200734297
"83%",-6001.63775594396,63011.6409477296
"84%",-5686.64858086206,63143.0660964546
"85%",-5405.75211831725,63280.0947365129
"86%",-5172.95927222451,63430.9922832585
"87%",-4867.10295911846,63553.267378351
"88%",-4380.19770756958,63735.4580539186
"89%",-3788.95250315904,63964.6667772364
"90%",-2813.93699084656,64188.0661898713
"91%",-1486.34369501778,64392.2271992244
"92%",-783.954086325402,64590.1463699468
"93%",-165.64055506211,64882.4321521199
"94%",-44.0160351867433,65149.9541047094
"95%",-13.3791580809832,65459.7755472429
"96%",-3.93519981432842,65803.7657387949
"97%",11.2842652495778,66173.7932905497
"98%",25.6274884928184,66557.732150606
"99%",60.0207927632699,67025.9363646427
