"","V1","V2"
"1%",-14553.5165677963,-61883.9220692985
"2%",-13921.1771807198,-60549.7002409095
"3%",-13602.0460644561,-59615.9779415753
"4%",-13305.8899400605,-58427.7672739249
"5%",-13012.9370042486,-57753.6586299838
"6%",-12723.3246693931,-57172.9122927336
"7%",-12248.844084905,-56559.5638426753
"8%",-11746.6867157679,-56145.1793367166
"9%",-11357.400348683,-55811.799532988
"10%",-11049.7677337701,-55474.5031621573
"11%",-10667.1534151241,-55178.1503114624
"12%",-10059.575921359,-54969.1326829207
"13%",-9531.36245479733,-54758.1961347535
"14%",-9016.62288219643,-54534.9984419818
"15%",-8311.17999400023,-54329.3834613365
"16%",-6796.67408230811,-54163.0798023774
"17%",-6092.64794463412,-53986.7613074379
"18%",-5650.7686327089,-53808.2170279151
"19%",-5289.14878378468,-53662.9289682915
"20%",-4991.91878980394,-53489.4193821495
"21%",-4772.9924244509,-53315.652803222
"22%",-4547.49825713148,-53128.9390953064
"23%",-4323.46228998786,-52948.070036852
"24%",-4005.59862988505,-52749.9552113839
"25%",-3683.53987196492,-52562.2008483031
"26%",-3414.49009090269,-52384.411575354
"27%",-3165.28353238604,-52214.5367384145
"28%",-2930.88539924178,-52001.0034281117
"29%",-2712.05979608744,-51695.0737430957
"30%",-2486.66228200535,-51432.6895160713
"31%",-2266.78408150264,-51140.6011685711
"32%",-2027.99879408171,-50834.5860385913
"33%",-1749.75203382747,-50553.6511046298
"34%",-1480.6213905595,-50237.3998291582
"35%",-1239.28456886386,-49858.4584646279
"36%",-968.170876716928,-49451.0786619576
"37%",-685.894980543271,-48940.4551659568
"38%",-456.736547162378,-48423.9331470679
"39%",-196.853525376102,-48014.8012759371
"40%",-96.2934097820988,-47647.8261320381
"41%",-35.9816614193802,-47240.3974777147
"42%",-16.4101328626103,-46823.1083932035
"43%",-5.57011940486706,-46388.3613039251
"44%",0.810364297303468,-45744.9837017994
"45%",7.05989606271199,-44950.1316030031
"46%",74.5997802979935,-44422.2325935896
"47%",234.551873218037,-44080.4584211928
"48%",368.170001001723,-43820.9085975062
"49%",486.142094482444,-43515.8572315464
"50%",622.298942770071,-43099.4252234501
"51%",771.829979587468,-42232.3151123492
"52%",940.482007454614,-40876.0124551237
"53%",1147.80768835697,-35516.05721017
"54%",1312.32959160233,-33560.6288384087
"55%",1514.72770014449,-31065.6183803552
"56%",1689.03692978306,-29970.3969706656
"57%",1908.5215667127,-29241.85718032
"58%",2224.31161241286,-28718.1182465681
"59%",2495.65482163835,-28292.5923238212
"60%",2756.00078000816,-27895.8089342747
"61%",2978.60510260578,-27481.4810516808
"62%",3285.66285192388,-26997.5751555037
"63%",3528.28795988249,-26183.8097147709
"64%",3747.74773978759,-25367.7648666186
"65%",3964.30297478589,-24846.0983626747
"66%",4150.96799687339,-24441.1225177043
"67%",4333.97141619238,-24176.0961884056
"68%",4514.14141516906,-23890.9333913163
"69%",4744.21684752095,-23594.6020793693
"70%",4947.71310561562,-23264.2989346607
"71%",5177.78024015232,-22921.7180740994
"72%",5388.16562182484,-22635.0174156518
"73%",5618.60407979636,-22366.4122244715
"74%",5884.55890234991,-21954.7409222832
"75%",6070.5992537548,-21565.386803076
"76%",6300.16153404043,-21216.9877483494
"77%",6546.76601235244,-20938.9477918313
"78%",6800.13981317785,-20649.3952288136
"79%",7118.29600267692,-20225.6139170176
"80%",7496.49079552646,-19711.6050655738
"81%",7869.83371075272,-18987.3699117804
"82%",8256.08417768211,-18532.6260226105
"83%",8761.44079927772,-17718.2941056705
"84%",9268.10687258248,-16101.9767567347
"85%",10192.4364295149,-15143.0116826116
"86%",10951.0250172498,-13916.2542414141
"87%",12114.8493108272,-10756.4715010526
"88%",13464.793388799,-4793.68745874144
"89%",16227.29850545,-2565.19846141381
"90%",17983.7550476137,-648.494186852666
"91%",19460.0122780288,-334.124235015096
"92%",20822.0200902619,-146.615572752843
"93%",21551.7325119166,-92.3894071931398
"94%",22321.0457401853,-62.5937639463748
"95%",24391.6383685411,-19.919520456858
"96%",28872.2823148341,-4.94286655825934
"97%",31052.1993033941,5.46210809554537
"98%",32854.2379880595,35.7743784347699
"99%",34567.9064274104,472.638497822282
