"","V1","V2"
"1%",-12507.3512353385,-26394.7910651426
"2%",-11666.6667739125,-25692.0979971481
"3%",-10189.5871167062,-25169.3184816401
"4%",-9391.82840211538,-24822.8505216821
"5%",-8985.58213327609,-24562.5721898032
"6%",-8685.62286448879,-24231.880211714
"7%",-8424.04495142646,-23915.0860224062
"8%",-8182.09499203367,-23653.2214327857
"9%",-7880.18398657562,-23258.9723773699
"10%",-7578.07608921431,-22842.2556910809
"11%",-7302.43311758208,-22223.0349778895
"12%",-6959.91043623364,-21628.6510634528
"13%",-6580.16078502858,-21124.0836478857
"14%",-6156.8172884805,-20753.2190436768
"15%",-5655.04928024413,-20430.3893658623
"16%",-5056.74320540963,-20141.2745899081
"17%",-4495.5085720477,-19922.7515758477
"18%",-3862.81187000397,-19766.2703982599
"19%",-3260.02637964236,-19602.2011445348
"20%",-2691.13165543005,-19433.8175166458
"21%",-2406.92337784917,-19229.9260012557
"22%",-2085.84822744046,-19059.3827968882
"23%",-1764.56198689973,-18895.4690185567
"24%",-1479.90364182538,-18713.9172320455
"25%",-1229.14714067517,-18579.6848409573
"26%",-837.730742610305,-18384.4543637694
"27%",-465.698251551717,-18207.0904350645
"28%",-189.302490546362,-17966.0986980481
"29%",-23.6780065193591,-17744.2980232775
"30%",-10.4872392645457,-17524.1337368781
"31%",-6.36499938506907,-17294.3740781661
"32%",1.06443937498426,-17071.3459502822
"33%",98.1710392971158,-16671.8881628215
"34%",148.926802776368,-16257.4610611545
"35%",200.846082228004,-15842.8032009815
"36%",257.422034195525,-15449.9069513707
"37%",416.19601412387,-15046.4126807988
"38%",760.380838789336,-14540.2793488947
"39%",1050.44067557897,-14203.6724595492
"40%",1324.06068254997,-13862.0279912189
"41%",1578.5332253657,-13544.0034977413
"42%",1928.48029400782,-13250.4131919344
"43%",2458.4334545055,-12979.972559699
"44%",2815.04511812223,-12798.675675491
"45%",3167.90620205728,-12640.2513667352
"46%",3443.5821810212,-12495.1332065746
"47%",3678.95969057147,-12335.8580896226
"48%",3880.62025915118,-12188.8664698483
"49%",4080.28955266625,-12046.4466833018
"50%",4289.18021839936,-11884.2714479671
"51%",4536.97558595949,-11734.4454613636
"52%",4838.46053406901,-11594.3683053511
"53%",5058.09790768529,-11451.5150453341
"54%",5308.11959005436,-11269.6110655965
"55%",5518.82751846497,-11125.9768986822
"56%",5727.60315078776,-10966.7443927556
"57%",5903.78401247092,-10830.8136468422
"58%",6106.57938094827,-10686.8601809164
"59%",6285.79481650978,-10536.2828424074
"60%",6513.14996730527,-10369.6060337141
"61%",6716.29725947577,-10213.5101498457
"62%",6913.01163114261,-10035.0111934892
"63%",7051.12024399766,-9858.11949590009
"64%",7240.34849497097,-9722.55237142748
"65%",7414.33894357558,-9563.43563571109
"66%",7583.3615404375,-9385.36797809323
"67%",7790.04283211819,-9205.05515840831
"68%",8009.51511388478,-9027.97869667782
"69%",8197.59189504205,-8807.64342873532
"70%",8464.21864019606,-8635.6752948982
"71%",8758.30482106409,-8460.90557270357
"72%",9019.3315585774,-8253.9412512931
"73%",9234.15761359761,-8024.57140020007
"74%",9444.46413990828,-7812.11665938043
"75%",9654.67567990493,-7494.34853211429
"76%",9813.25781404294,-7166.94130015936
"77%",10030.2770688929,-6662.8586907305
"78%",10171.4753464799,-5853.88245887986
"79%",10310.8242764082,-5299.06651325811
"80%",10445.1681020455,-4458.59525685044
"81%",10572.8742490384,-3670.00581640135
"82%",10679.0006738013,-3298.02030857135
"83%",10793.7460912054,-3013.06599000005
"84%",10934.0668980478,-2637.64533589166
"85%",11080.6836759255,-2323.69395357356
"86%",11229.3305149528,-2072.53178192337
"87%",11383.3453034735,-1809.17436304441
"88%",11575.3646479969,-1349.45694828884
"89%",11766.7661893795,-952.952610167828
"90%",11956.7596953005,-499.896778497169
"91%",12144.1186239427,-281.105392389469
"92%",12272.9918987538,-131.912500157685
"93%",12437.363434689,-17.1267254458423
"94%",12648.3613786729,-9.68229483679936
"95%",12858.2717653883,-2.49489636636705
"96%",13105.3966397471,7.88282060383891
"97%",13344.5537925368,69.8859092890618
"98%",13580.8757181973,175.950212117332
"99%",13929.8307211432,468.151473887
