"","V1","V2"
"1%",-38725.4422552726,-14454.1579731588
"2%",-38246.8363620575,-13744.3775992497
"3%",-35944.0951379809,-12997.2766025318
"4%",-34487.7346402732,-12383.6639709692
"5%",-33645.7918014767,-11794.086821952
"6%",-33192.4173431865,-11318.8835908404
"7%",-32921.9073842141,-10994.0567843528
"8%",-32702.7665670875,-10616.4162086262
"9%",-32529.5031251115,-9903.63215247541
"10%",-32349.8782746135,-8354.71445635806
"11%",-32202.2352381215,-7499.85734567308
"12%",-32054.5069791473,-6171.69289828384
"13%",-31941.761616237,-4601.9055195805
"14%",-31810.3083641991,-4032.54014543087
"15%",-31692.0491936446,-3540.4704710079
"16%",-31569.0490916159,-3261.43756580596
"17%",-31463.1396753393,-3068.61406022122
"18%",-31361.3932208884,-2870.59798592842
"19%",-31238.2574230879,-2704.9512046019
"20%",-31145.5766819927,-2578.39196527976
"21%",-31020.4396753374,-2447.0911026041
"22%",-30920.0379480101,-2330.23764618923
"23%",-30807.0133678935,-2208.20085889836
"24%",-30710.7065067869,-2073.56298332767
"25%",-30598.0412548949,-1934.92614889833
"26%",-30478.2792938389,-1769.62014469044
"27%",-30370.583072788,-1582.90011445179
"28%",-30232.8251652288,-1389.81858486282
"29%",-30102.5091058581,-1211.37395039806
"30%",-29981.125697257,-1040.21509650599
"31%",-29836.1820596025,-874.5471793854
"32%",-29645.9289350314,-672.035062605683
"33%",-29483.0434122993,-496.782113360832
"34%",-29322.8160095607,-322.225792641269
"35%",-29153.1494394024,-154.133201671521
"36%",-28962.7701395755,-7.87170067945053
"37%",-28819.0126565946,5.86774695658416
"38%",-28664.4695622305,25.4191362148354
"39%",-28503.5119863402,49.9455475883707
"40%",-28303.6954720957,68.7733421916496
"41%",-28097.6860882829,88.0152136056172
"42%",-27905.7738193617,140.4924014329
"43%",-27762.5199396551,244.708018262507
"44%",-27634.4764957266,326.313490934381
"45%",-27515.5683385127,415.945586340901
"46%",-27389.7387737913,606.644532046368
"47%",-27278.1906429637,788.855095716175
"48%",-27108.5390605462,961.325864735794
"49%",-26971.6475148637,1157.68732970117
"50%",-26752.1091210429,1328.69051388534
"51%",-26579.6529499981,1512.52266807009
"52%",-26412.0930629355,1682.17438132269
"53%",-26224.4610135934,1851.14008600591
"54%",-26056.2615698237,1994.26283176993
"55%",-25925.1354437394,2120.12445327892
"56%",-25771.0805874036,2261.78762284602
"57%",-25619.3235756272,2413.12241365938
"58%",-25499.5449973019,2513.71313061695
"59%",-25359.7896197391,2638.59804046846
"60%",-25204.3222524871,2783.53896822508
"61%",-25023.6900077788,2942.81310086099
"62%",-24834.645663531,3084.78074610817
"63%",-24658.9371123109,3231.87244903306
"64%",-24440.6884496357,3354.49650315586
"65%",-24157.3719468869,3500.76880749135
"66%",-23855.1439366871,3655.11056050679
"67%",-23465.6028348751,3797.5068078575
"68%",-23054.0354749583,3962.62742358366
"69%",-22752.2460123791,4102.96422969061
"70%",-22495.2892275913,4257.34750100043
"71%",-22269.7166977592,4403.63125962669
"72%",-22020.3955539862,4538.65928914513
"73%",-21705.2699055064,4647.71321374284
"74%",-21366.9074260195,4777.00926250886
"75%",-20938.6121424662,4888.26149964693
"76%",-20599.2454498542,4992.59292904555
"77%",-20211.1076070939,5121.93163440475
"78%",-19682.3061588519,5245.7441119903
"79%",-15755.1294515499,5360.06873221825
"80%",-13815.9151593918,5480.81265634298
"81%",-12792.8670808682,5594.05387909431
"82%",-11996.939780159,5727.28194532115
"83%",-10964.7164268758,5872.66119888144
"84%",-9205.87935425084,6045.75428224516
"85%",-8663.98568308249,6238.96447349738
"86%",-7213.4949913004,6408.45734913583
"87%",-3197.60470756265,6575.02012949136
"88%",-1770.6943864257,6738.92306288691
"89%",-1322.97419855147,6907.01984365175
"90%",-968.25112102968,7093.98790431884
"91%",-482.969425474943,7306.11500903102
"92%",-206.635496177094,7549.22354339906
"93%",-91.5581398195359,7829.61871177327
"94%",-43.0308773607204,8101.22617993253
"95%",-24.4593622239376,8394.867992504
"96%",-5.37921222027992,8699.74794844153
"97%",3.24035637658486,8997.23294642872
"98%",34.3676310949248,9418.98717138885
"99%",837.500041178217,9943.21683669069
