"","V1","V2"
"1%",-42656.3708710448,-12005.265961206
"2%",-42181.4550845372,-10825.1624819882
"3%",-41569.0196237134,-8566.70408025269
"4%",-40893.502490237,-7705.86530499593
"5%",-40377.9413134725,-6605.55408323751
"6%",-39722.6492937788,-5657.08654172645
"7%",-38328.2978085911,-5061.59453749909
"8%",-36704.1220688377,-3555.51608545181
"9%",-35134.4335400749,-2023.26219852157
"10%",-30178.579837847,-1358.47989540512
"11%",-29383.8536715757,-929.100109728337
"12%",-28791.1084977064,-593.640893924043
"13%",-27959.2798111402,-280.932194040592
"14%",-26429.9986869832,-138.405645928261
"15%",-25457.9791252746,-84.5084068489164
"16%",-24577.694251834,-32.0264203941402
"17%",-23430.0592914089,-13.2858515268314
"18%",-22524.0601299704,-3.81831497514972
"19%",-21776.7871130458,0.253289299850664
"20%",-20941.9312062697,15.7255140381264
"21%",-19989.5719478915,49.4844228167205
"22%",-19011.7467255554,105.229006383307
"23%",-17786.7962579706,248.192753788285
"24%",-17063.6342773842,379.928944296636
"25%",-16557.9444153156,507.961161589353
"26%",-16272.4955761553,625.988933451804
"27%",-15991.3215409535,807.755887733487
"28%",-15710.633907868,945.454071828846
"29%",-15439.6463067323,1102.9093334391
"30%",-15158.3986574783,1260.89742173836
"31%",-14917.6177899807,1400.89444835227
"32%",-14678.0338128237,1623.98496552881
"33%",-14368.3114165738,1863.91555099411
"34%",-14063.4868042005,2050.57233627249
"35%",-13703.6969870234,2254.24962055671
"36%",-13337.3075375918,2459.52702286827
"37%",-12998.2112456284,2652.98609652768
"38%",-11387.6444674543,2819.072855592
"39%",-8259.023586631,3041.19179197305
"40%",-7845.24416197389,3256.08523066081
"41%",-7415.69124773419,3466.48601962654
"42%",-6876.41155444595,3666.04948422743
"43%",-6353.17978838521,3861.96997469982
"44%",-5959.07930264979,4056.91169207928
"45%",-5559.95850604355,4263.13625425809
"46%",-5180.44738774314,4439.33792226748
"47%",-4865.3459696343,4598.61603543501
"48%",-4597.50990265839,4733.69918834126
"49%",-4245.77260527553,4879.44500855541
"50%",-3843.29327692124,5040.47284249368
"51%",-3130.09576931953,5185.72031799347
"52%",-2541.03223091177,5340.47256319516
"53%",-2021.93649034944,5477.45188842582
"54%",-1575.1987638821,5604.83499269375
"55%",-1179.8955173517,5744.57757696769
"56%",-734.618671732679,5871.91611096578
"57%",-305.643718516797,6007.50997702503
"58%",-89.9160854073212,6118.0682641342
"59%",-28.5953739990031,6245.84509580109
"60%",-20.0432811153334,6380.6406482922
"61%",-14.8375980358727,6500.73529569009
"62%",-6.28818176397057,6638.77478871259
"63%",1.41043580895255,6783.23735397572
"64%",13.4261359633506,6891.50930299342
"65%",101.446935828154,7042.49520112438
"66%",199.635500339836,7203.41461297364
"67%",321.538970208254,7356.81394992806
"68%",552.32689222822,7522.86584952145
"69%",794.397100759967,7680.46096320115
"70%",1068.73578181805,7878.07192013765
"71%",1355.09004974359,8054.90110321496
"72%",1660.24909594597,8243.66949370513
"73%",1872.05388724795,8430.15280650661
"74%",2081.79392266496,8600.54611335296
"75%",2321.85543905396,8803.55599622835
"76%",2622.84395647008,8996.03035239166
"77%",2922.63786609935,9183.98642805466
"78%",3148.37728902111,9348.17759868564
"79%",3352.82744635727,9508.93341476212
"80%",3533.80392817719,9708.26068055902
"81%",3705.9027814628,9920.50543547652
"82%",3857.68128407417,10096.9113648031
"83%",4033.65903455206,10279.4717138859
"84%",4225.41639731434,10521.2465465112
"85%",4376.38615223114,10781.6808880981
"86%",4546.94184974335,11032.1284485893
"87%",4716.96807976974,11290.2371840209
"88%",4945.06360765117,11580.8173535098
"89%",5198.23728527839,11854.7364079115
"90%",5488.92904408254,12108.809178133
"91%",5745.01705892874,12330.6102840005
"92%",5961.10583379011,12549.2870980833
"93%",6191.75260180561,12733.6452094662
"94%",6445.09144041561,12907.3939184248
"95%",6894.73471255922,13089.6880105278
"96%",7513.21213760479,13287.0765469638
"97%",8193.1568234068,13560.327634292
"98%",8886.23547144653,14007.5046066029
"99%",9702.10859349943,14578.1782298374
