"","V1","V2"
"1%",-27770.9475961701,-37051.299610804
"2%",-27381.6225366025,-36187.0564958938
"3%",-26950.6219048029,-34073.5902600712
"4%",-26528.2518385924,-32830.2621057945
"5%",-26067.502218375,-31714.4991606397
"6%",-25627.7529340729,-31079.1326130281
"7%",-25275.6329415692,-30646.9024817951
"8%",-24904.6347604221,-30248.7384121729
"9%",-24566.7280758868,-29906.5361385979
"10%",-24327.6267970758,-29517.0021272052
"11%",-24101.3767408576,-28979.4091867502
"12%",-23924.4689700809,-28559.3984914817
"13%",-23748.2799357162,-27668.3765230515
"14%",-23550.7480773266,-26733.7835541182
"15%",-23372.2387600423,-25706.3153755717
"16%",-23231.3551913075,-24992.4027671568
"17%",-23071.7161089556,-24333.8045650737
"18%",-22948.7452594423,-22279.3340411155
"19%",-22810.3222050292,-20512.3830089644
"20%",-22681.9030648989,-18398.3087174895
"21%",-22540.3857940199,-16186.8174361065
"22%",-22397.1696975234,-14912.9478850348
"23%",-22273.7187536754,-14173.8015752266
"24%",-22145.7993404496,-13574.5082352954
"25%",-21988.9837808873,-12388.6230428144
"26%",-21842.0624901074,-10641.1847865888
"27%",-21696.289965139,-10138.1342286913
"28%",-21533.6128638252,-9654.77723016122
"29%",-21371.1756445211,-9257.5765886807
"30%",-21200.5236141136,-8958.83666773545
"31%",-21047.7124878576,-8741.37097151643
"32%",-20863.9674274551,-8501.45097073629
"33%",-20736.2894097063,-8258.02573736038
"34%",-20585.4373743373,-8069.5946606036
"35%",-20441.2436603055,-7828.40437752134
"36%",-20312.1900722972,-7543.19735597477
"37%",-20186.3200790546,-7236.18673626412
"38%",-20082.8396153866,-6915.02568662612
"39%",-19929.7065065727,-6542.88903274382
"40%",-19791.396897144,-6231.34238079796
"41%",-19665.0334710218,-5939.63074337463
"42%",-19541.8734647922,-5584.89790246802
"43%",-19416.7549553305,-5284.15269021737
"44%",-19281.2970855579,-4901.89876868987
"45%",-19148.9813359628,-4530.86185827399
"46%",-19025.473215522,-4168.19325111261
"47%",-18909.4743252365,-3856.1407431946
"48%",-18794.8443791124,-3432.83397385444
"49%",-18681.5975441529,-3171.19074816654
"50%",-18544.013729238,-2950.94371285861
"51%",-18389.4067031884,-2696.11069117941
"52%",-18239.2283300745,-2395.38172908275
"53%",-18103.3192131406,-2170.50546074739
"54%",-17961.5924190053,-1859.74367444043
"55%",-17791.2302933073,-1591.58615199294
"56%",-17603.3266222885,-1295.07302291294
"57%",-17427.623896511,-973.524138937879
"58%",-17193.717507531,-641.966167462022
"59%",-16934.9177766008,-364.715980640379
"60%",-16567.9263120847,-168.566285668889
"61%",-16200.8893704666,-98.744914728112
"62%",-15789.0842391864,-71.6473505055421
"63%",-15419.6413747089,-37.4155507966182
"64%",-15018.8075633071,-16.2115820936488
"65%",-14517.8794889868,-6.84848299303427
"66%",-13972.5400095837,-1.63194067154589
"67%",-13165.0618206617,128.170183085702
"68%",-11890.6621766017,356.792211203084
"69%",-9309.02057623098,677.382773036624
"70%",-8561.3114127909,965.128911030433
"71%",-7922.18633811864,1236.3029528203
"72%",-7023.08185853145,1479.89770564662
"73%",-5319.48125882885,1704.46926962567
"74%",-4244.83059514325,2025.09428961975
"75%",-3694.51484714533,2351.15576521359
"76%",-3143.41649002762,2858.31285702978
"77%",-2722.16252169405,3623.11535275993
"78%",-2280.17120644956,4256.00350341358
"79%",-1825.24854396621,4723.19306278747
"80%",-1418.80911510535,5132.46154100122
"81%",-1080.25195876916,5567.72270268124
"82%",-834.929484304716,6168.35210048024
"83%",-630.552421337621,6603.15855190316
"84%",-421.940555254336,7320.76455402284
"85%",-203.406743603883,7722.39885917741
"86%",-56.8826851926617,8032.70340484221
"87%",0.878638304589166,8322.41164793825
"88%",17.7936127683335,8600.18220737804
"89%",25.0485450785011,8863.84381408342
"90%",35.4067611609146,9142.09463169017
"91%",53.4188735838214,9403.46482134022
"92%",166.659456817163,9644.59558089845
"93%",248.805927293174,9863.02382791803
"94%",398.301835282563,10083.4288972572
"95%",501.823951991253,10289.6089369585
"96%",598.455208517255,10556.0608907266
"97%",738.456420351928,10961.7171622802
"98%",942.913240273453,11631.9248113426
"99%",1183.33989038373,12446.9993495838
