"","V1","V2"
"1%",-9039.55719368705,-16985.3228966675
"2%",-8446.86335876073,-16027.9960733838
"3%",-7893.51041978342,-15396.2179261869
"4%",-7548.55893414969,-14749.4999805839
"5%",-7269.90607739655,-14246.9747436182
"6%",-6968.00084368347,-13557.5558540455
"7%",-6704.76018166278,-12961.6423068801
"8%",-6481.03167184423,-12369.8797132103
"9%",-6260.89795957435,-11929.8809203788
"10%",-6031.65875493769,-11575.2057609834
"11%",-5800.9252296736,-11329.8993268494
"12%",-5573.52312178607,-11139.0748155922
"13%",-5367.21999241982,-10935.3694957226
"14%",-5160.9635665859,-10649.7973471273
"15%",-4916.97264941959,-10419.405606947
"16%",-4729.55923191149,-10144.5785446337
"17%",-4523.84958569319,-9843.84632480816
"18%",-4359.99168045944,-9502.78205132229
"19%",-4200.57932316446,-9099.58055458736
"20%",-4065.69355310135,-8733.51758389113
"21%",-3895.35667468859,-8281.94809712547
"22%",-3777.64773183192,-7961.41435586765
"23%",-3658.57591817792,-7611.37346622419
"24%",-3546.20584064207,-7350.762411274
"25%",-3424.84604131815,-7065.59754308333
"26%",-3275.05478238966,-6817.75063090483
"27%",-3122.91334239588,-6564.81996142206
"28%",-2989.16766220535,-6324.30995798992
"29%",-2844.55567551607,-6117.48852588986
"30%",-2697.50680574546,-5909.51417731154
"31%",-2551.44581251274,-5658.73321779198
"32%",-2444.94513713352,-5392.75890394341
"33%",-2307.32068410205,-5076.90330293626
"34%",-2120.38266604054,-4830.87778234117
"35%",-1977.99468436565,-4564.93525568502
"36%",-1826.42833748742,-4319.21713262359
"37%",-1644.09900073164,-4079.75217392698
"38%",-1480.96003349501,-3693.03336820089
"39%",-1351.13231445302,-3373.41001729211
"40%",-1202.01366602038,-3206.41236110236
"41%",-1095.26547733927,-3031.02018280423
"42%",-968.413717959181,-2871.85155669071
"43%",-859.240158263037,-2721.89583720632
"44%",-739.604650039107,-2550.61793596633
"45%",-620.896594528673,-2408.12925921568
"46%",-501.242628053448,-2234.42484971592
"47%",-371.257916457588,-2077.33910466904
"48%",-240.460768960283,-1876.94700418391
"49%",-127.918049737209,-1710.24569200869
"50%",-29.3953340844146,-1511.4295021796
"51%",-11.5530202864976,-1305.33909000497
"52%",6.38565677666349,-1064.55766711471
"53%",13.8443722303848,-865.499422216045
"54%",48.3853957188415,-693.768191985629
"55%",99.9064692861889,-519.801693380479
"56%",138.964391351808,-315.9969849443
"57%",194.988050548237,-185.69519094873
"58%",255.529603707543,-84.4822726556569
"59%",312.792400406075,-34.9316099060997
"60%",389.449302702074,-10.3258247889362
"61%",506.484055519979,7.18671954609705
"62%",598.988266179394,13.9920709018533
"63%",701.149624418185,26.1527237222514
"64%",836.410903187262,79.4629291054118
"65%",944.13952217044,331.810997743483
"66%",1081.4598368124,613.232259583494
"67%",1241.07502285971,819.439907455262
"68%",1404.93443609579,1066.87455324146
"69%",1617.89767114203,1294.67879093937
"70%",1816.05864012805,1499.3167956935
"71%",2054.54016216815,1716.03666957002
"72%",2279.64611022435,1985.77519626337
"73%",2567.68128284724,2197.70550122315
"74%",2830.55211963188,2421.57508399141
"75%",3088.65486246826,2609.1193278835
"76%",3341.577910866,2801.37345857128
"77%",3598.69115407634,3021.51297490765
"78%",3918.65830942532,3248.5492035434
"79%",4250.15024006766,3492.83920964021
"80%",4622.51404931759,3816.97503115333
"81%",5304.99252356427,4061.22188189305
"82%",5842.95277911041,4284.59380773323
"83%",6287.24175327521,4527.44542217312
"84%",6617.55387896647,4820.92618875077
"85%",6989.42533664691,5142.76557324396
"86%",7309.0256641597,5423.42266906822
"87%",7597.23264110714,5724.88807276815
"88%",7989.74564699173,6143.34196356403
"89%",8448.35630522684,6566.7364639051
"90%",8992.37310248435,6917.13826980892
"91%",10036.567310096,7242.60945764053
"92%",10727.3525909218,7544.1968816078
"93%",11109.8741113278,7861.67978162913
"94%",11670.2247645145,8236.88885248094
"95%",12153.3295492954,8561.13144914503
"96%",12855.6899698772,8932.35880647364
"97%",13377.5715454427,9283.73082410986
"98%",13966.1334321509,9761.90838342813
"99%",14861.0226282811,10361.5789714487
