"","V1","V2"
"1%",-17480.7828276843,-18914.2456527133
"2%",-17013.9383299876,-18245.0957631819
"3%",-16600.1808916445,-17521.0658519217
"4%",-16223.9912174832,-17099.4251047914
"5%",-15898.8924049676,-16789.0396902444
"6%",-15579.37436892,-16519.4906568562
"7%",-15144.783727828,-16302.9837867503
"8%",-14603.010573442,-16027.4699973016
"9%",-13838.5333036262,-15771.9206105943
"10%",-13177.5877252082,-15518.6467547348
"11%",-12762.4926967333,-15269.783764146
"12%",-12305.9234903222,-14981.8109332462
"13%",-11881.8493437019,-14742.7951905552
"14%",-11496.4491367958,-14480.871221456
"15%",-10990.9104795605,-14255.8800952524
"16%",-10649.0518790303,-13988.8807296826
"17%",-10374.3195339768,-13770.0909579119
"18%",-10160.7610482188,-13506.8550067109
"19%",-9981.95898768478,-13192.0037366068
"20%",-9836.24287821704,-12867.2661485051
"21%",-9634.82495966135,-12555.3709583265
"22%",-9430.40839482387,-12320.5566666702
"23%",-9222.99960007876,-12112.4402019107
"24%",-8961.94861707426,-11940.3904746278
"25%",-8594.35856638466,-11708.9971272388
"26%",-8312.47873728832,-11554.86255899
"27%",-7960.11861263835,-11328.2225196644
"28%",-7556.95119652206,-11092.6378590066
"29%",-6910.96355476998,-10858.7096564175
"30%",-6445.62221527349,-10661.011791396
"31%",-6098.48163894539,-10499.9405823097
"32%",-5827.6077971524,-10341.6988786364
"33%",-5599.32262946127,-10193.2137877738
"34%",-5391.16372697139,-10044.2142998417
"35%",-5233.17844501474,-9897.384445784
"36%",-5059.46131249848,-9734.76083199809
"37%",-4883.2501642848,-9588.93325508999
"38%",-4694.53339177251,-9416.00864191687
"39%",-4496.27213719182,-9214.32872967926
"40%",-4302.67865952729,-8996.56268515361
"41%",-4127.937572333,-8729.6969635493
"42%",-3923.80575844557,-8494.17102002351
"43%",-3772.10233508556,-8273.67446225105
"44%",-3616.54079275559,-8011.53425708989
"45%",-3460.41041651885,-7666.35792556752
"46%",-3287.05268864778,-7326.90948584079
"47%",-3114.40333734343,-7010.29195059834
"48%",-2961.26500987367,-6629.47554065611
"49%",-2820.53204481429,-6398.94988198577
"50%",-2663.79341961296,-6228.43677086836
"51%",-2523.40753023584,-6085.75609601483
"52%",-2388.29370174377,-5945.68945788601
"53%",-2223.08191310205,-5841.55106514199
"54%",-2059.50190721811,-5729.42225418119
"55%",-1877.41680264487,-5619.96612560885
"56%",-1687.90904835349,-5499.11294012996
"57%",-1490.28756083385,-5364.36662612641
"58%",-1278.15354174284,-5255.23777689234
"59%",-1110.62341791808,-5130.68500618252
"60%",-859.978397432337,-5020.56940270001
"61%",-672.415031567606,-4930.84039512023
"62%",-505.409530683766,-4797.17665032457
"63%",-361.768144271124,-4639.80591368541
"64%",-210.035935396559,-4476.43527839518
"65%",-131.828350894417,-4329.74975915322
"66%",-68.4895800503675,-4152.53040155132
"67%",-27.21426885873,-3992.82693355501
"68%",0.482400471557414,-3825.65985639129
"69%",10.0822174384763,-3618.51817717689
"70%",27.6890203806241,-3355.92847863814
"71%",56.4324733117324,-3108.16370364256
"72%",99.4153423115565,-2828.37475014282
"73%",185.508011517693,-2549.88246431924
"74%",274.22931791869,-2301.44889048087
"75%",379.524413555196,-2095.94909271537
"76%",481.328947860836,-1893.23549874541
"77%",636.748756683175,-1630.37614070287
"78%",773.880407454816,-1358.89181754317
"79%",945.93997993213,-925.628494570583
"80%",1158.73820569705,-323.25177382212
"81%",1330.05013664355,-22.1054845968621
"82%",1503.49771415955,-9.68508052067838
"83%",1646.2874191651,-5.00759898557784
"84%",1794.00053955911,0.00599629650950346
"85%",1965.26400240297,80.2784180009476
"86%",2154.01974212932,213.217211608057
"87%",2289.5213130611,282.280697305099
"88%",2429.96901979551,464.42652969545
"89%",2586.13237864608,821.44246008151
"90%",2741.1298050691,1372.67490153006
"91%",2909.39481922184,1886.11628011792
"92%",3117.52414780594,2217.42319361364
"93%",3378.90987476516,2511.59571574251
"94%",3664.32909445257,2822.85424001996
"95%",3981.21529839833,3061.31353354246
"96%",4295.34066635452,3316.82733024194
"97%",4575.91854625558,3702.38099709012
"98%",5008.92591224867,4181.07126206471
"99%",5655.44831314917,4684.32569829675
