"","V1","V2"
"1%",-3275.68250653053,-31793.3238661416
"2%",-2428.05887175679,-30784.2646451405
"3%",-2000.39808439217,-29807.3125958466
"4%",-1661.87701705034,-28051.859914345
"5%",-1377.70144009704,-27342.1632956267
"6%",-1124.73883540482,-26286.6783895037
"7%",-920.932996537979,-25474.8063846522
"8%",-776.583493250436,-25107.6890538955
"9%",-528.87275275082,-24805.287221654
"10%",-321.480477317794,-24499.1113302967
"11%",-153.119639754712,-24252.8060301968
"12%",-84.6931403704016,-24032.5743984317
"13%",-50.267185841818,-23781.6756711822
"14%",-24.709046122214,-23476.3816890474
"15%",-12.9892534454039,-23228.9114932465
"16%",0.640179327692083,-22866.9415155082
"17%",79.67944518255,-22505.763011485
"18%",162.700732175987,-22249.0472339573
"19%",275.012785641692,-22010.4607419835
"20%",372.143231940145,-21703.688039462
"21%",604.09856696679,-21419.7082695964
"22%",860.707071990785,-21154.817311178
"23%",1155.03617938715,-20913.6344175555
"24%",1454.59067038679,-20437.2448157841
"25%",1693.57183679047,-20011.2782505852
"26%",1879.90624626617,-19734.3552161564
"27%",2030.30360931063,-19501.6299935356
"28%",2217.5902252095,-19293.4048599335
"29%",2375.12570140533,-19128.3509620608
"30%",2523.28347296191,-18964.2193010011
"31%",2639.59321725204,-18813.5372477813
"32%",2800.23076649443,-18659.8126216922
"33%",2970.22986471832,-18526.5430854687
"34%",3098.4033371929,-18408.157166202
"35%",3249.24876779285,-18266.013889031
"36%",3372.79875505961,-18118.8646582682
"37%",3511.1680347902,-17995.0741343204
"38%",3640.01910724218,-17901.3907275151
"39%",3775.56061688337,-17777.7751515059
"40%",3952.16902901983,-17639.7506536311
"41%",4110.39779573473,-17523.2258396606
"42%",4261.94653534028,-17386.7730754304
"43%",4443.89882348151,-17263.6226593958
"44%",4636.60170049253,-17108.9739626602
"45%",4856.35531716633,-16973.1728162981
"46%",5067.38107741477,-16801.1116828174
"47%",5363.55923734298,-16694.5217213679
"48%",5666.19399548263,-16553.4056074141
"49%",5959.26677941751,-16421.6381086845
"50%",6152.94664738361,-16296.4787910895
"51%",6349.8337308276,-16128.3328742364
"52%",6519.52220965418,-15977.4546156755
"53%",6657.06841447998,-15779.402579961
"54%",6789.96317695268,-15466.534802147
"55%",6934.32392533213,-15129.3912101523
"56%",7072.75430309338,-14803.2881985914
"57%",7177.80312816435,-14218.2634714206
"58%",7288.87589038545,-13466.7828050033
"59%",7402.08869827127,-12746.9910477415
"60%",7524.86245183797,-9815.77552473543
"61%",7641.08722267175,-8011.69670301129
"62%",7763.16039680901,-7596.82366187566
"63%",7933.64989852904,-7047.04810704144
"64%",8074.92642217428,-6589.4264265756
"65%",8209.5062587595,-6159.5853616059
"66%",8351.12336919133,-5391.56658788185
"67%",8502.03609207825,-5027.47436999405
"68%",8634.65775208334,-4804.63521383852
"69%",8805.72896251938,-4550.67605586106
"70%",8986.90564335793,-4321.38001317058
"71%",9148.54340867316,-4060.45650779534
"72%",9308.37459354626,-3776.21832793373
"73%",9485.76955665853,-3478.36399700895
"74%",9633.34678547273,-3214.87614288788
"75%",9802.50160855368,-2900.2135115235
"76%",9990.14202409681,-2649.90558558573
"77%",10173.3856452826,-2364.01546060847
"78%",10354.9543362668,-2035.42318128394
"79%",10586.4531514522,-1765.04211309779
"80%",10831.7316980967,-1437.28912798243
"81%",11096.2497814156,-1068.73836916144
"82%",11321.1349475438,-742.343144631954
"83%",11496.8846238418,-537.547877173644
"84%",11677.9233149976,-399.19528074097
"85%",11947.2598800158,-253.871931659755
"86%",12427.9638421788,-90.3122480412564
"87%",12874.555816817,-54.9275407978173
"88%",13303.5232701439,-32.201309089442
"89%",13623.232637154,-9.29757036494492
"90%",13968.099622364,4.44087324754283
"91%",14248.0458023402,13.1441018742182
"92%",14495.9827449901,27.2358065605726
"93%",14739.1642927578,154.548088114244
"94%",15154.749217466,419.025284471327
"95%",15622.6515935653,726.404643785828
"96%",16142.2398508247,1145.45225286291
"97%",17229.00579637,1540.29594698067
"98%",18300.0561916136,2301.12326005126
"99%",19672.7329137237,3611.88867540272
