"","V1","V2"
"1%",-244.779752346786,-394.125101110693
"2%",-83.2322763916194,-257.379999354917
"3%",-17.6600606887228,-192.490686914917
"4%",-5.26390564462754,-127.008614585477
"5%",-1.31778571190461,-88.3500797687564
"6%",6.13804718831588,-32.406447355079
"7%",19.6876687421054,-12.3930073987165
"8%",90.5922051404278,-5.4532112699932
"9%",599.465146909425,848.3799138766
"10%",2233.47934958014,1543.09339800041
"11%",2941.5236001897,1902.08747472428
"12%",4162.63963649395,2414.90113896388
"13%",5538.42433936163,2796.52406402004
"14%",6320.66362451034,3343.65969787996
"15%",6682.20084569973,3981.54203303219
"16%",6970.90784317663,4672.9204674553
"17%",7222.48558766376,5400.37899173291
"18%",7444.28772826674,6058.98426220602
"19%",7709.52166315181,6428.76429750194
"20%",8050.58182209343,6655.24639801292
"21%",8367.19265432029,6835.5352433644
"22%",8695.99681590159,7062.06467746718
"23%",9045.10561175119,7373.3504079668
"24%",9359.33217511255,7628.64869725947
"25%",9728.6292592762,7854.61929451557
"26%",10143.8574322588,8147.82438379767
"27%",10709.9544525182,8489.02830311801
"28%",11446.2922444522,8835.21032879537
"29%",11819.9456692288,9203.86894106891
"30%",12182.8551795352,9778.13093986597
"31%",12472.4938512707,10215.561192278
"32%",12784.1302038992,10577.5113593783
"33%",13078.4871983594,10900.8811715171
"34%",13346.0581767334,11310.8130898833
"35%",13548.3393107632,11677.9805919176
"36%",13726.2136191931,12000.2447616764
"37%",13856.8881829604,12511.1320287892
"38%",13990.1268523842,12980.1958064213
"39%",14154.6687526078,13524.7983658456
"40%",14316.8542335089,14040.177532794
"41%",14476.0732209295,14546.8541018043
"42%",14624.7800167778,14858.6428251221
"43%",14778.3985920057,15172.6302826721
"44%",14924.5149553723,15524.9769781835
"45%",15083.4936605193,15846.6458104881
"46%",15254.0536571092,16133.2981044382
"47%",15405.0421369951,16411.4162715537
"48%",15529.8049718135,16653.8806444053
"49%",15705.9168100623,16911.3284557556
"50%",15849.6150569542,17181.7908555466
"51%",16010.5656544328,17433.7415876525
"52%",16199.173250329,17674.9126458779
"53%",16369.9402420484,17936.0641242646
"54%",16549.9227868633,18277.6151184743
"55%",16736.5586668711,18581.3347637209
"56%",17010.9783565395,18902.2903454588
"57%",17290.7690941424,19213.6023759411
"58%",17603.5275410863,19482.4202201738
"59%",17931.8359767767,19722.4587712123
"60%",18195.835226752,19880.3710365317
"61%",18370.5671763446,20060.3688112781
"62%",18539.8068378541,20231.1317322111
"63%",18691.5111658945,20399.6993861031
"64%",18816.15293478,20574.9510985559
"65%",18957.5613826924,20744.4255796608
"66%",19101.8614886439,20896.3005364948
"67%",19260.4124852103,21102.271232237
"68%",19410.4730495253,21366.8132183721
"69%",19554.1286226782,21705.3221079548
"70%",19729.1037118294,22111.0935152241
"71%",19891.7022965175,22360.8347558381
"72%",20011.4940025585,22579.3197770685
"73%",20161.2375455349,22851.0226683279
"74%",20271.5110894104,23120.3429781287
"75%",20393.0675759261,23351.109705423
"76%",20531.4976273896,23546.2781698792
"77%",20661.3380917469,23770.1292177937
"78%",20827.5627765265,23954.5740045639
"79%",20978.4352625757,24186.5095553011
"80%",21203.9552024176,24431.0619810298
"81%",21372.6477964266,24700.3731104483
"82%",21648.6320523013,24920.6818487137
"83%",21966.8185365343,25102.3662469393
"84%",22340.186831411,25283.2473905066
"85%",22666.0083255876,25457.0806000002
"86%",23085.5047259429,25620.6633266133
"87%",23695.6262388502,25755.384415766
"88%",24119.4934313639,25912.6939214905
"89%",24559.5436593349,26152.8924443633
"90%",24883.5162171337,26459.4688199786
"91%",25148.6472415721,26943.5490362753
"92%",25361.4900206613,27470.5995367291
"93%",25574.5544790105,28143.7459277292
"94%",25785.2813280366,29159.9222027597
"95%",25972.5811292554,29674.3307064371
"96%",26283.8669458368,30278.4375577473
"97%",26621.7310828299,30721.8674224887
"98%",27326.289921477,31132.0631311031
"99%",28068.5759368427,31669.23829416
