"","V1","V2"
"1%",-2627.87365348483,-165.712314556837
"2%",-1934.87014215156,-35.3714160205861
"3%",-1097.11917135887,-6.88172047710979
"4%",-445.19172913429,-0.783889827570741
"5%",-174.519938671753,3.50443094162662
"6%",-92.851585364862,13.5976808388985
"7%",-69.2851869899446,190.028482471594
"8%",-48.7761390114067,405.266561947869
"9%",-33.1013988636003,1017.97262265395
"10%",-19.4330772950129,1755.77524353678
"11%",-9.19613191660243,2297.12812167469
"12%",77.7046349897086,3018.84733728013
"13%",489.76839919592,3335.99888910847
"14%",884.031649289574,3684.91170966071
"15%",1267.16556903615,4102.71425315816
"16%",1820.39873443487,4364.9749295112
"17%",2358.823483466,4606.31762572798
"18%",2693.79168848654,4811.09075278672
"19%",2999.1035272383,4994.90770767907
"20%",3243.09948105532,5187.66202911855
"21%",3503.97694976445,5343.09852024679
"22%",3769.49585967397,5540.35680583823
"23%",3991.54230108056,5702.20581594867
"24%",4211.69549199521,5894.04699377657
"25%",4414.46709413398,6101.12750432101
"26%",4659.70061781823,6347.10700119556
"27%",5032.42826707466,6619.78927848531
"28%",5683.29753357303,6930.64174843128
"29%",6217.39176270563,7212.6761162559
"30%",6548.45346528111,7524.15816197177
"31%",6825.69584253744,7912.03260613255
"32%",7266.25224341453,8312.42646283717
"33%",7774.05139005551,8902.37344174602
"34%",8080.44745700741,9943.98350480693
"35%",8425.94682120724,12234.3616723516
"36%",8708.77231061787,13821.0153590653
"37%",8988.51574982906,15029.7782362479
"38%",9200.27255064684,15695.7893995625
"39%",9436.11310915488,16512.2325726822
"40%",9684.44611606311,18135.5963536339
"41%",10113.3094873797,23504.3948109179
"42%",10570.0299775969,31866.9766093391
"43%",10900.4496240174,32549.8411176691
"44%",11184.866502757,32931.7306418264
"45%",11441.4114272044,33261.954417171
"46%",11746.3310490546,33526.745297413
"47%",12002.296748307,33756.8773748808
"48%",12233.2888099595,33930.5899108519
"49%",12561.7030343528,34159.8457865189
"50%",12879.0121206221,34373.6747250455
"51%",13122.1072729829,34584.5270270497
"52%",13383.9932501965,34795.9554696719
"53%",13602.5701323791,35025.9685491361
"54%",13805.9368477668,35389.0983240482
"55%",13974.296225402,35793.734050611
"56%",14150.5118163947,36325.458993185
"57%",14356.257815249,36884.7283834709
"58%",14605.6501085515,37239.8117980781
"59%",14959.8372902711,37588.3204282008
"60%",15330.9861108962,37924.1123471325
"61%",15690.1677689305,38393.4263351404
"62%",15962.870269579,38969.760543509
"63%",16272.8265920435,39604.6879435944
"64%",16526.8294133508,40061.093062012
"65%",16818.8347452086,40505.7540047909
"66%",17073.3193799871,40795.0414503998
"67%",17307.6973925957,41270.0875381803
"68%",17556.047869181,41613.5927424824
"69%",17773.4465343478,41915.303714024
"70%",17979.8153848946,42380.8165244978
"71%",18195.7146339733,43231.1504204591
"72%",18381.924006573,44008.7915288944
"73%",18594.409688518,44355.102770416
"74%",18830.2028142335,44754.6487710483
"75%",19138.6813753037,45213.6033766198
"76%",19595.4522146679,45724.7969353117
"77%",20430.8955321045,46140.6035303263
"78%",21076.6595541749,46387.5527405518
"79%",21803.5339684717,46625.0145885415
"80%",22233.8002165889,46843.4329964968
"81%",22638.5233845884,46993.0175269455
"82%",22944.202219629,47178.8600951657
"83%",23175.1226261413,47359.1629802239
"84%",23511.7719142222,47623.5181691002
"85%",23740.1653616078,47868.9792285033
"86%",23972.7312151273,48077.1750060651
"87%",24213.6542363539,48344.6020217103
"88%",24464.783183021,48616.394037908
"89%",24711.2055664478,48952.322293115
"90%",24916.0240608888,49244.2909838497
"91%",25269.3869636607,49603.4891246197
"92%",25679.337144548,49987.2732878637
"93%",26128.2210570716,50443.4148746998
"94%",26543.9590098291,50786.3618324232
"95%",26931.4593042461,51241.2365046747
"96%",27325.243784776,52216.8682830483
"97%",27928.1624615993,53596.3229386539
"98%",28700.1461691507,54221.4340051169
"99%",29404.9262325314,55102.5803981365
