"","V1","V2"
"1%",-17350.0875190069,-11224.2972944263
"2%",-14833.6545131513,-10868.2952673121
"3%",-14247.6463297146,-10615.2934675476
"4%",-13514.2384259334,-10403.3502940237
"5%",-12528.89283694,-10197.0713238123
"6%",-12162.3016766417,-10007.2879772756
"7%",-11812.9164962167,-9805.03439159983
"8%",-11494.4137860603,-9642.05291411545
"9%",-11064.4496467343,-9469.7370597732
"10%",-10739.0762310424,-9321.64121541391
"11%",-10433.1184675551,-9080.97604335152
"12%",-9985.12772001175,-8887.715071818
"13%",-9441.78907926105,-8728.18319435692
"14%",-8923.47583904427,-8526.17697348544
"15%",-8667.45018742999,-8378.74253488355
"16%",-8472.94465464804,-8237.11435435205
"17%",-8312.0428037069,-8085.42958522867
"18%",-8141.78271415611,-7920.01089596799
"19%",-7963.93663864069,-7726.23090618097
"20%",-7777.17234466508,-7551.21229850305
"21%",-7589.49162249463,-7345.57682645294
"22%",-7323.80909146736,-7106.06816374158
"23%",-7042.91268656201,-6826.38389484872
"24%",-6608.55303191291,-6569.87419160632
"25%",-6262.31748164858,-6341.86526272919
"26%",-5948.35365781664,-6137.07411261921
"27%",-5414.93708871556,-5945.12324447769
"28%",-4909.58560032156,-5716.91821662165
"29%",-4456.92837004447,-5498.32336942406
"30%",-3794.48790958933,-5310.67245774591
"31%",-3141.00810382444,-5124.10478168072
"32%",-2662.5616844485,-4906.609751248
"33%",-2244.20961202028,-4699.92970913987
"34%",-1849.5987192671,-4501.21805162384
"35%",-1551.41813594703,-4332.31226719091
"36%",-1293.55321256009,-4079.85719585561
"37%",-1098.38324651344,-3836.86374474863
"38%",-864.326116496134,-3635.36003904533
"39%",-604.410693061591,-3400.29441714365
"40%",-434.013507914381,-3182.85565401885
"41%",-291.807286749333,-2828.71446200449
"42%",-242.244931800606,-2334.76003001149
"43%",-201.776463572789,-1891.616909096
"44%",-162.405959969845,-1538.96026130797
"45%",-125.681490911876,-1268.60552467949
"46%",-78.0958704240454,-990.378321352157
"47%",-31.9284798140383,-831.021716431129
"48%",-21.5640744685409,-645.390171836045
"49%",-2.16269075741266,-475.28693563477
"50%",278.825940174908,-249.625785015057
"51%",695.429531355731,-110.809656874257
"52%",1079.5663461302,-61.2922134013229
"53%",1401.35695394279,-30.5674813185571
"54%",1801.30485212393,-9.01769752385121
"55%",2178.6734167197,-3.72566302333559
"56%",2916.46434678125,23.5423350690358
"57%",3381.49008641073,141.573311271481
"58%",3782.09663736807,566.310366829858
"59%",4313.73762910443,3016.55429439574
"60%",4817.01254751504,3935.51128612904
"61%",5443.90571733948,5205.71266279701
"62%",5966.32372566657,6147.37753669442
"63%",6435.07826742066,7151.66064651022
"64%",7115.34478918673,7828.63595633574
"65%",8201.6825340268,8296.12980339877
"66%",9931.68699562749,8904.00834765122
"67%",10995.4877377784,9313.92125048258
"68%",11726.1872119959,9701.32807633073
"69%",12152.7201615378,9936.49183690056
"70%",12574.8737993571,10223.622584845
"71%",13037.3566476882,10493.170654015
"72%",13472.9808224241,10804.5947754468
"73%",13777.4562270865,11065.1951786631
"74%",14076.4695260473,11395.9143238635
"75%",14269.2081690603,11716.4713364911
"76%",14497.5416568311,12276.2357206485
"77%",14739.2511367792,12781.0552132741
"78%",14989.2830108621,13226.8645714482
"79%",15226.1505001766,13623.2176916267
"80%",15496.161318856,13954.9451112486
"81%",15713.4903643156,14325.0968859424
"82%",15962.0800489223,14653.8703202784
"83%",16194.8059245502,14938.8264104673
"84%",16447.2758413709,15367.3706552417
"85%",16709.5032598604,15796.6778305993
"86%",16979.3093772005,16120.2770797444
"87%",17267.2293882812,16414.7607043619
"88%",17554.3345362041,16754.6492776895
"89%",17808.4607968336,17213.2513032113
"90%",18100.5017903395,17656.2986579486
"91%",18350.8026373047,17930.9102603008
"92%",18618.3993255874,18213.4642669769
"93%",18936.0705756503,18478.7582310102
"94%",19241.7336774769,18806.6756377058
"95%",19747.2863622234,19176.2286876144
"96%",20227.2204180108,19671.3859421015
"97%",20550.0820966774,20146.8814187223
"98%",20879.2524390936,22547.7955076588
"99%",21286.6732771533,23584.984518427
