"","V1","V2"
"1%",-25746.6545629296,-91.0580755582857
"2%",-25075.8139545902,-36.1768994356415
"3%",-24430.9203439206,-22.0003528237377
"4%",-23445.3450387659,-14.7911509786983
"5%",-22032.1097192034,-2.63453235899975
"6%",-21368.7254099025,47.0602182008232
"7%",-21040.9666494799,334.310740563976
"8%",-20756.9553063138,450.046685870031
"9%",-20506.8820536887,591.412102765489
"10%",-20235.7500233693,920.565023153302
"11%",-20053.9058700004,1257.95738919813
"12%",-19869.0864862812,1547.44260029307
"13%",-19701.4636213463,1885.89669174318
"14%",-19518.274955766,2219.72032674096
"15%",-19298.4544650198,2502.61606678599
"16%",-19125.8527911967,2741.96598257738
"17%",-18969.561116122,3051.41538555761
"18%",-18803.0153113239,3425.1978575239
"19%",-18658.7177612635,3649.391723024
"20%",-18515.123650318,3886.13510727322
"21%",-18378.6233279999,4113.09388679546
"22%",-18242.9236191084,4325.98160775371
"23%",-18117.2674283207,4554.88416662724
"24%",-17967.7968668215,4792.90155905629
"25%",-17789.3763582417,4981.43744424148
"26%",-17613.6573272247,5132.61266411443
"27%",-17451.6090741925,5288.80237307324
"28%",-17260.2138970704,5463.4559971189
"29%",-17131.5327578179,5671.1299371454
"30%",-16951.1972023543,5897.89845336491
"31%",-16802.182124083,6134.85642717753
"32%",-16663.7937878871,6413.05157030783
"33%",-16493.9732101005,6640.45261230232
"34%",-16335.1250265605,7003.47688546945
"35%",-16155.817190962,7297.46608278182
"36%",-15957.5416595533,7550.22843711053
"37%",-15773.921733365,7772.90145910578
"38%",-15592.8668407755,7944.77966657848
"39%",-15367.2668713045,8134.84019642576
"40%",-15109.6268540687,8289.10248850386
"41%",-14834.0646768315,8466.27544016561
"42%",-14527.2557340522,8655.17107393971
"43%",-14221.7964355424,8793.51655230558
"44%",-13961.2515250385,8939.56162839509
"45%",-13715.5989293124,9080.17550745908
"46%",-13419.8459638838,9234.90475930334
"47%",-13070.9096293032,9457.23509909344
"48%",-12721.5052087052,9662.36604109546
"49%",-12437.2263539286,9876.64514631515
"50%",-12200.0605962017,10088.1633048229
"51%",-11933.1891185169,10259.0531363505
"52%",-11615.3326019417,10405.3226141465
"53%",-11337.4255096152,10563.0394267967
"54%",-11115.7078176959,10747.7439035952
"55%",-10867.6857032705,10946.8422545534
"56%",-10521.3193690508,11160.3913661214
"57%",-10167.9999027294,11414.1794593178
"58%",-9756.48522688163,11820.7825369785
"59%",-9432.19185499462,12148.4715924452
"60%",-9094.82845346796,12433.2641920135
"61%",-8755.55032529073,12729.1073395245
"62%",-8432.7781841843,13008.5169707543
"63%",-8126.13466336777,13280.354129325
"64%",-7900.69065702846,13593.6366947621
"65%",-7648.00669601693,13852.8518657619
"66%",-7442.9652178879,14124.6005953584
"67%",-7169.58964998775,14417.1679361659
"68%",-6828.8380271952,14732.9801215733
"69%",-6493.21741053901,15034.3298076077
"70%",-6086.82299829814,15430.9286738161
"71%",-5539.50684480996,15727.2424734476
"72%",-4913.15326474062,16002.0308194855
"73%",-4473.03616131236,16222.0879727326
"74%",-4194.92059371154,16421.2042056593
"75%",-3927.60627803787,16623.3720415019
"76%",-3699.71360520042,16820.4686791948
"77%",-3513.99327439275,17093.8979156204
"78%",-3333.9192102153,17373.693906819
"79%",-3088.8379463491,17588.1779445003
"80%",-2878.20239083622,17757.0589019528
"81%",-2693.89460177452,17916.5698489126
"82%",-2376.47127951857,18083.1759302913
"83%",-2039.85053916015,18277.6637453014
"84%",-1658.87263150587,18479.2154362055
"85%",-1189.90465275224,18878.2197180532
"86%",-878.287762595833,19196.0505199278
"87%",-466.15174891193,19648.8231152725
"88%",-2.66092778168368,20017.94648026
"89%",6.23911760075177,20291.8018256557
"90%",38.5563883219588,20551.8146991961
"91%",87.4410705436882,20831.5437751967
"92%",119.479764641145,21133.1874681001
"93%",155.834666291982,21582.8873449133
"94%",214.269369495459,22074.4358956479
"95%",448.607260982777,22507.083190755
"96%",649.818169684045,22895.0942938196
"97%",855.978411071279,23418.4636673415
"98%",1115.03923790334,23766.1475847745
"99%",1495.07933982705,24316.7182024635
