"","V1","V2"
"1%",-37855.5892337126,-1979.45967800266
"2%",-37042.8605300851,-575.298427174609
"3%",-36613.4586429285,-111.712819891429
"4%",-36250.3891695681,-6.97322229146328
"5%",-36015.792582218,2.7578532545174
"6%",-35830.9958735628,14.7835520914326
"7%",-35635.6720052643,26.8015077792868
"8%",-35417.9595864026,64.6154894877226
"9%",-35112.6766279234,98.5849235369904
"10%",-34798.612096082,187.687121739623
"11%",-34506.4536947933,368.212846988725
"12%",-34279.6791336659,1224.68838478625
"13%",-34061.4337217366,2599.88278710176
"14%",-33834.1076060796,3164.2644030687
"15%",-33563.5139509144,3694.9463795756
"16%",-33290.4785992678,4315.89498668556
"17%",-32956.6569917039,4811.51624894564
"18%",-32557.1890738695,5307.84173105304
"19%",-32048.4101243976,5576.01083442531
"20%",-31577.7105965918,5858.13995385471
"21%",-30989.7414985394,6071.41647491179
"22%",-30216.5721526898,6274.34246007328
"23%",-29217.6379621652,6462.38818416812
"24%",-28300.5529405874,6680.14747761964
"25%",-27665.9794920519,6881.97332673897
"26%",-27000.5939242487,7040.68242169131
"27%",-26527.8347829359,7243.80388971342
"28%",-25919.9963764104,7490.15145913469
"29%",-24948.7079895742,7708.94459154732
"30%",-23719.5919768567,7998.25317569069
"31%",-21752.4726725035,8280.60258087944
"32%",-19370.4702407023,8643.93605058991
"33%",-18520.8606106113,9049.71095516898
"34%",-17802.1204724735,9586.11503972433
"35%",-17211.5021421211,10713.5202846526
"36%",-16727.3887096572,11719.8987688947
"37%",-16018.9032352316,12974.715368987
"38%",-15116.9381099802,13892.6000763521
"39%",-13997.7748926308,14311.6745875486
"40%",-12691.2105852208,14630.7189660979
"41%",-11946.629744193,14956.3534686978
"42%",-11602.1874695927,15260.3564868823
"43%",-11350.9751667888,15783.0518459102
"44%",-11148.2456571099,16591.0529693941
"45%",-10949.4366647815,17744.8376439629
"46%",-10712.692901875,18437.410506115
"47%",-10389.4507128417,18972.8342379748
"48%",-10098.2164677087,19458.332229452
"49%",-9851.16346124672,19911.0840428623
"50%",-9635.32680664202,20276.073905018
"51%",-9427.4292098832,20624.0076198777
"52%",-9266.80180599701,20971.2227223881
"53%",-9047.78456339681,21425.5089050985
"54%",-8846.34033182547,22043.3425533231
"55%",-8646.60062735019,22464.0482160866
"56%",-8434.60084362883,22723.6672401703
"57%",-8243.55110573734,22941.8774598147
"58%",-8042.36830231658,23154.8132191995
"59%",-7850.37398580093,23338.4834616006
"60%",-7602.19728662697,23579.8961089726
"61%",-7307.49668788487,23766.7066689965
"62%",-7029.56572071294,23940.0084976577
"63%",-6818.87501489569,24134.631733713
"64%",-6571.81647921978,24327.2272709405
"65%",-6316.065733314,24568.4348663576
"66%",-6044.52462406978,24837.5309854439
"67%",-5826.17153060285,25251.4794465077
"68%",-5596.27624521403,25618.7660336239
"69%",-5396.1128861919,25972.3335260595
"70%",-5188.6848899447,26270.0072306423
"71%",-4961.26663015312,26593.9548915875
"72%",-4723.54735387758,26852.4515027965
"73%",-4508.60868310926,27163.1125692126
"74%",-4318.9812439258,27498.1937064953
"75%",-4126.6416192575,27942.5967003402
"76%",-3971.98012535141,28422.6400858007
"77%",-3808.37287887475,28758.751032665
"78%",-3656.26064584625,29004.06491443
"79%",-3470.46343093611,29191.1822536851
"80%",-3331.98982232271,29400.4122177325
"81%",-3157.12554396113,29593.3260166639
"82%",-2970.79146283428,29782.0211182397
"83%",-2736.07422108738,29954.6687450681
"84%",-2506.1211592035,30131.6369886798
"85%",-2298.3339421978,30301.271277513
"86%",-2064.42758231942,30480.711965029
"87%",-1771.67207651433,30687.5305658184
"88%",-1411.2674204336,30859.5427520766
"89%",-824.047408986051,31117.0723248383
"90%",-432.644320920739,31346.9404676862
"91%",-53.86322235496,31575.348377717
"92%",1.33505336787901,31834.9024211708
"93%",8.3148692696816,32043.8063143713
"94%",49.6484564759222,32247.0060868558
"95%",66.5154114311187,32457.4507573148
"96%",92.0777920177376,32671.8979556294
"97%",162.837093350272,32969.7920215146
"98%",267.550429517495,33362.1130394657
"99%",1216.96194587557,33793.8435954501
