"","V1","V2"
"1%",-11249.8964086596,-13502.2230719334
"2%",-10469.6004647839,-12516.9845142354
"3%",-9809.52646050788,-12080.6703917936
"4%",-9208.53528906487,-11796.3723260064
"5%",-8852.01417840925,-11546.4035768703
"6%",-8529.73662870522,-11336.3821973631
"7%",-8192.09534476921,-11126.5704127253
"8%",-7860.09894740558,-10904.4252480646
"9%",-7566.39459045652,-10671.9965457311
"10%",-7222.06399380553,-10482.4397740924
"11%",-6812.61867605004,-10280.9821851338
"12%",-6410.74331106418,-10047.2324941753
"13%",-6042.06539423327,-9812.87379122272
"14%",-5778.59964675664,-9600.59075931623
"15%",-5553.96260850615,-9442.94960948422
"16%",-5328.29469677798,-9233.5133923656
"17%",-5158.54894267,-9049.73300421111
"18%",-5018.28597573687,-8866.04301929719
"19%",-4860.35702987752,-8657.30078969402
"20%",-4691.67315669887,-8442.19398969838
"21%",-4512.70461049428,-8285.13705500253
"22%",-4401.18259150425,-8136.11286444893
"23%",-4270.40649555608,-7991.02451232937
"24%",-4145.59573646078,-7846.47046601358
"25%",-4038.27121486661,-7707.57291172606
"26%",-3926.63645745341,-7565.86825349415
"27%",-3797.39132307116,-7461.1159090099
"28%",-3680.5259436291,-7345.01922849994
"29%",-3547.01083423729,-7206.37520441569
"30%",-3409.06276988968,-7080.70501235536
"31%",-3266.64550955297,-6954.22931922822
"32%",-3125.36171448831,-6815.25480217406
"33%",-2983.97993642699,-6688.12847395582
"34%",-2835.77824059681,-6535.6903542573
"35%",-2700.05245707491,-6378.02705041278
"36%",-2573.46749158835,-6227.57565588241
"37%",-2417.2522453634,-6077.20013992322
"38%",-2250.48311474707,-5874.56842386154
"39%",-2086.74402943873,-5638.14744957499
"40%",-1918.96769550502,-5464.31086820255
"41%",-1773.61514193806,-5213.86083723849
"42%",-1621.99080346308,-4927.03607091533
"43%",-1476.79989185894,-4630.15006768837
"44%",-1343.15507599195,-4307.08279517776
"45%",-1070.9065487688,-4067.36676176251
"46%",-773.252377706339,-3851.85539207227
"47%",-513.325306545607,-3652.69937256044
"48%",-333.942668052077,-3474.17637928776
"49%",-184.527261729481,-3307.82699655665
"50%",-30.4154386873062,-3128.37607824537
"51%",-10.8792315416025,-2983.29411445942
"52%",-1.68065901384308,-2821.62306657673
"53%",5.19306538255367,-2658.50158529082
"54%",61.4984862095729,-2502.4521833511
"55%",96.0807861955843,-2327.06826455322
"56%",173.729207579474,-2136.4573166397
"57%",439.918949941414,-1948.34302364636
"58%",731.222929809772,-1749.50715412068
"59%",1123.97643550216,-1515.00767705959
"60%",1886.13621034882,-1282.7734869257
"61%",2566.18512526597,-952.977213277699
"62%",3152.29238573865,-709.839647110337
"63%",3581.38947453053,-493.230404756073
"64%",4104.64230434554,-167.919843524211
"65%",4579.00434441606,-43.5756486033336
"66%",5032.25305936821,-19.9549324167262
"67%",5516.02972114866,-0.861764037653397
"68%",6070.88905344775,6.76980202418436
"69%",6510.61215112932,14.7218625966519
"70%",6910.43877478112,35.466824611048
"71%",7267.05145319844,128.380380943485
"72%",7661.55627642844,279.970686296862
"73%",8324.80343345025,666.658619079183
"74%",9317.58066589538,1067.40833305806
"75%",9914.68463841304,1449.75936981584
"76%",10213.2078732306,1764.71069612744
"77%",10423.697416741,2077.12299090914
"78%",10693.3994890264,2342.88900632945
"79%",10963.8315189465,2737.0766192045
"80%",11395.6529581951,3168.99185912447
"81%",11910.1170913919,3616.24760894533
"82%",12536.743362787,4008.10156197031
"83%",13122.615971642,4308.19495007647
"84%",13411.1895162546,4559.47214764272
"85%",13827.4797997043,4787.22812820979
"86%",14296.9885503997,4991.48857344107
"87%",14733.3134223087,5224.60935974181
"88%",15332.9172190419,5497.81618344092
"89%",15850.4651317403,5823.34468703992
"90%",16382.4553068737,6181.45715584582
"91%",17033.2351303636,6711.94106570216
"92%",17885.0349946572,7471.77505159915
"93%",18319.6560664443,7835.99624819939
"94%",18649.5190676446,8368.84167892667
"95%",18977.06184994,9015.72320807746
"96%",19417.1373697871,11837.0747241552
"97%",20254.4867140938,13023.2801044928
"98%",21451.7525325948,14567.8344230772
"99%",22144.7394171343,15811.7989414723
