"","V1","V2"
"1%",-645.250153360466,-6923.15466289477
"2%",-294.486211252041,-6257.72173668163
"3%",-169.572090434993,-5639.12497253017
"4%",-84.7374432586157,-5141.14516746742
"5%",-3.76027700681703,-4495.80409132341
"6%",4.29024158317116,-3940.36343535759
"7%",32.1177949973807,-3341.21838341296
"8%",56.1381186516059,-2863.64267615789
"9%",69.4470985822405,-2415.61311768301
"10%",126.002444155158,-2000.73180711012
"11%",877.064995009712,-1674.29231796581
"12%",1704.99879970127,-1307.66837778782
"13%",2713.44926335047,-991.367277338402
"14%",3401.25891922397,-717.446454842798
"15%",3783.03963328637,-503.31752150492
"16%",4209.43378917642,-293.929834672024
"17%",4741.29583727871,-54.0430970534319
"18%",5873.94508362351,-0.404582986213892
"19%",6953.00873661469,7.65284902070874
"20%",7646.88434696957,22.3001466174396
"21%",8484.08951230437,64.976749086491
"22%",9640.56221715227,108.320319469684
"23%",10445.8068729053,144.494769206975
"24%",11045.8647573639,221.879801290375
"25%",11532.7046622041,342.502008391842
"26%",12029.0185159178,455.625580704381
"27%",12541.1373098885,581.418470807981
"28%",13486.423784742,908.007841158152
"29%",14334.9685387256,1258.48940227335
"30%",15370.4480567042,1719.53494122108
"31%",16252.7930542096,2422.34950907514
"32%",17023.1741195636,3061.26675172258
"33%",17756.410824329,3609.89109650376
"34%",19040.9727512287,4011.79112617333
"35%",21372.1784506613,4856.71570921205
"36%",25467.1835921461,5345.20809929753
"37%",26530.9197828965,5635.21185189054
"38%",27013.6808958808,5912.62677692185
"39%",27375.4118442867,6179.31344794671
"40%",27819.9192719002,6518.44951300441
"41%",28367.41554183,6918.70789326509
"42%",28794.2187211979,7291.43382504245
"43%",29119.7851057402,7557.72679832682
"44%",29499.1073116731,7826.08114646514
"45%",29913.0255859327,8101.47462787434
"46%",30192.2378106097,8440.2739766955
"47%",30428.1314883357,8670.58206794438
"48%",30632.6661489308,8911.56848301517
"49%",30784.3775023536,9105.16953111802
"50%",30950.536172362,9305.59696209873
"51%",31119.3300360472,9506.73008701279
"52%",31283.9981381496,9685.43489561994
"53%",31439.6651218461,9828.62396475168
"54%",31594.4878482251,9981.5303192147
"55%",31738.617608646,10130.2167202071
"56%",31869.6785838662,10302.5291721495
"57%",31989.7958121316,10475.0537558621
"58%",32154.2029122207,10645.2710789586
"59%",32298.0591188871,10809.3632888424
"60%",32420.6524329704,10977.5550518758
"61%",32566.6215534265,11163.0462049915
"62%",32706.9681444121,11316.1431569488
"63%",32843.4221256668,11521.8241635402
"64%",32986.090556608,11719.18612701
"65%",33151.1108863709,11937.7738541285
"66%",33364.9373726253,12153.0168043443
"67%",33615.1096075895,12345.2353910189
"68%",33849.7220253631,12476.6097989152
"69%",34092.1604807164,12620.1714073798
"70%",34366.4616688772,12754.2157831717
"71%",34623.7636405467,12875.2265508515
"72%",34916.815252894,12991.4037451834
"73%",35202.8933251319,13113.2022288072
"74%",35435.3768058631,13252.1488577828
"75%",35714.299093233,13411.3955798164
"76%",35887.3892822455,13591.7570851471
"77%",36074.8472884109,13759.3710999116
"78%",36322.477193025,13906.7804018695
"79%",36539.3085282178,14061.2204515657
"80%",36877.4780183775,14245.5579482237
"81%",37158.242877013,14426.5892434372
"82%",37421.4915509019,14583.6400622216
"83%",37744.2348491006,14766.2870149
"84%",38037.2940047832,14916.0006253872
"85%",38296.5686213132,15068.0770843047
"86%",38608.8049541146,15241.3367435499
"87%",39169.8677213687,15477.4194381603
"88%",39917.3257747668,15731.2354255683
"89%",40216.8926863009,15946.3221300026
"90%",40508.8827416514,16199.6757085611
"91%",40835.4459955097,16527.439289115
"92%",41135.9722196737,16882.1308262911
"93%",41561.8945040231,17266.3542787216
"94%",42056.8730297905,17641.1257575802
"95%",42611.4522545122,17902.6890614634
"96%",43007.212886547,18220.9330126607
"97%",43502.6516226529,18743.6529105384
"98%",44187.344415945,19602.3076468543
"99%",44850.0296446611,20792.8588643552
