"","V1","V2"
"1%",-21251.6522563702,-10832.6631063672
"2%",-20451.2465256638,-10225.1958722862
"3%",-19864.5719286922,-9304.86339776133
"4%",-19491.9458144194,-8669.10232116853
"5%",-19131.4356635699,-7245.59954656393
"6%",-18850.9934686626,-6551.96931307245
"7%",-18591.4204571304,-5970.37577859667
"8%",-18388.7457696701,-5460.20653573502
"9%",-18105.6145577342,-5038.72252813543
"10%",-17863.5375082038,-4803.58585113545
"11%",-17649.2410209264,-4590.80239837853
"12%",-17435.9419740943,-4448.65594155049
"13%",-17231.2901582604,-4309.50364367213
"14%",-17072.6787480899,-4207.37520381161
"15%",-16914.5390173496,-4078.97585303793
"16%",-16701.2749980996,-3973.63204729885
"17%",-16532.192019945,-3828.95779843964
"18%",-16364.8229720585,-3713.20540932417
"19%",-16222.6265648957,-3558.97530178448
"20%",-16061.1262407495,-3364.44947351423
"21%",-15932.0671172878,-3178.85880275952
"22%",-15796.4717737779,-2914.45491618957
"23%",-15655.8577129203,-2638.2244568529
"24%",-15534.699218913,-2304.0537323805
"25%",-15400.0271878732,-2003.78271046002
"26%",-15259.4522499289,-1698.81602184371
"27%",-15085.0657486925,-1425.62995276399
"28%",-14934.3289196341,-1112.7928470327
"29%",-14800.5470318318,-826.575105359614
"30%",-14632.300437252,-474.348174264423
"31%",-14480.4682872158,-227.796515663324
"32%",-14342.7495627729,-85.9188001641403
"33%",-14220.1606354521,-36.6997230538401
"34%",-14089.6317286399,-20.2068035923574
"35%",-13951.2888345967,-10.9687456970835
"36%",-13806.4904367931,1.68418379201822
"37%",-13644.9804933806,27.2428738476489
"38%",-13496.8382169141,154.94292349199
"39%",-13376.588682556,248.391217613129
"40%",-13213.0449190336,307.809956612839
"41%",-13062.5432246317,394.101708985578
"42%",-12897.4122562191,486.282889288938
"43%",-12754.746651563,569.8115307609
"44%",-12616.2797323813,684.854177962638
"45%",-12469.7625345903,798.79045470368
"46%",-12334.0008598699,965.705791946228
"47%",-12191.5667319215,1122.30953265679
"48%",-12056.7992844297,1276.82674367237
"49%",-11911.3362269919,1491.09236504546
"50%",-11728.728461824,1695.94682545428
"51%",-11554.376758629,1856.43508662598
"52%",-11389.2030598605,2001.35333290502
"53%",-11233.0193019152,2122.8574637429
"54%",-11084.6236428679,2242.47800906458
"55%",-10909.7535286127,2344.73981623621
"56%",-10765.6610719667,2430.78776432794
"57%",-10603.1422892843,2524.1766244358
"58%",-10394.6513470785,2647.72804851654
"59%",-10163.7252514857,2750.22185385033
"60%",-9929.98705473477,2857.25744702998
"61%",-9668.84951519198,2978.51851297933
"62%",-9452.384471163,3092.83729221839
"63%",-9234.72615453744,3206.71615768089
"64%",-9033.59822269977,3363.28437733362
"65%",-8841.22175236411,3539.67340925351
"66%",-8616.58085671443,3723.40456317458
"67%",-8090.59349406818,3917.08014033749
"68%",-7697.01040176155,4115.90212490946
"69%",-7385.70509427583,4330.07850212524
"70%",-6987.03553438568,4527.80215660587
"71%",-6583.30424534261,4746.0882131356
"72%",-6172.56114631608,4993.09129130942
"73%",-5778.82042268525,5218.25659828207
"74%",-5386.06043039749,5427.26647865674
"75%",-4986.2492511859,5738.27717246506
"76%",-4261.49790072272,6047.806403619
"77%",-3515.82830358551,6366.27217693971
"78%",-2931.95057853495,6842.97191973104
"79%",-2234.2833199651,7436.86951374001
"80%",-1793.92084009821,7927.86626142011
"81%",-1208.86766681825,8423.48559537488
"82%",-831.197032478474,9059.42330802935
"83%",-665.569832936629,9877.97929006158
"84%",-425.226829405985,10715.4624248255
"85%",-232.47408823183,11648.8238106176
"86%",-112.833930475569,12508.8400127243
"87%",-51.9559308791277,13319.1874304034
"88%",-24.1795584973916,13780.7986437638
"89%",-8.5879510816083,14190.4229088069
"90%",1.10577177328133,14569.9842446623
"91%",309.348258220901,15013.3006421428
"92%",651.694941475707,15405.657307582
"93%",1290.9407558539,15791.3179505707
"94%",1688.38137196906,16202.534490809
"95%",2067.0620641816,16533.4291987277
"96%",2562.44494816231,17057.514501685
"97%",3279.6261282954,17563.9330701708
"98%",6311.21254281631,17979.940897036
"99%",7695.89600114096,18350.5023530679
