"","V1","V2"
"1%",-0.672445422012431,-0.41323812941788
"2%",-0.672445422012431,-0.41323812941788
"3%",-0.672445422012431,-0.39952349963728
"4%",-0.626962085002903,-0.366347576842372
"5%",-0.587105118609047,-0.35399287004214
"6%",-0.502201867268113,-0.29569225661887
"7%",-0.489471925568701,-0.280668268731019
"8%",-0.472920498592199,-0.267517083233175
"9%",-0.431836860879304,-0.240433217555618
"10%",-0.354540158826617,-0.210672594101386
"11%",-0.349078340066106,-0.206887988460659
"12%",-0.345667376929311,-0.204228257613047
"13%",-0.343725576613985,-0.202583195364549
"14%",-0.342095546451766,-0.200948632410391
"15%",-0.340836914765766,-0.199606275961306
"16%",-0.339461029474271,-0.198701334357268
"17%",-0.338610751768121,-0.19758509894844
"18%",-0.337962738426696,-0.196731252309826
"19%",-0.337101435487458,-0.195966673098268
"20%",-0.336511546331871,-0.195266037775679
"21%",-0.335806756275984,-0.194738804832461
"22%",-0.33534175791463,-0.193994226442295
"23%",-0.334674695668222,-0.193498906956621
"24%",-0.334074213683446,-0.19294195050263
"25%",-0.333239186605304,-0.192272482078193
"26%",-0.332455079811118,-0.191498967734912
"27%",-0.331786178228118,-0.190900477702182
"28%",-0.331240595559041,-0.190173287473237
"29%",-0.33051039350327,-0.189646220674691
"30%",-0.329790293544143,-0.189027579763055
"31%",-0.329400213820147,-0.188537800441612
"32%",-0.328786612320408,-0.187968437095043
"33%",-0.328107502995732,-0.187567200507901
"34%",-0.32753142510898,-0.187107607924643
"35%",-0.32705648391307,-0.186701078488644
"36%",-0.326648202837837,-0.186234375945595
"37%",-0.326233665715384,-0.185916797820312
"38%",-0.325786454807377,-0.185564173474764
"39%",-0.325448984728722,-0.185163589222168
"40%",-0.325082774912625,-0.184562803690966
"41%",-0.324658292786266,-0.184235023475879
"42%",-0.324341823005989,-0.183652113802304
"43%",-0.323908150819992,-0.183144593005017
"44%",-0.323585790146541,-0.182721143431854
"45%",-0.323209318940634,-0.182362587661969
"46%",-0.322755262782312,-0.181884732819423
"47%",-0.322340226262095,-0.181486717984551
"48%",-0.321867614810329,-0.181193399868516
"49%",-0.321576960460574,-0.18087100263399
"50%",-0.321090389525554,-0.180514307978776
"51%",-0.320688064883257,-0.180059391628713
"52%",-0.320343713052834,-0.179708560751061
"53%",-0.319950617074063,-0.179346113714615
"54%",-0.319462907285784,-0.179094395737955
"55%",-0.319191518383419,-0.178824294760646
"56%",-0.318829697872059,-0.178486738046899
"57%",-0.318541070794076,-0.178033542982658
"58%",-0.318209984694123,-0.177654457274189
"59%",-0.31776449511493,-0.177076288136945
"60%",-0.317343133831608,-0.176509533416799
"61%",-0.31686444123133,-0.176187847073647
"62%",-0.316567879034006,-0.175772110975339
"63%",-0.316153545464452,-0.175291001791006
"64%",-0.315810336618078,-0.174893161515496
"65%",-0.315435275821753,-0.174423720978387
"66%",-0.315094451246108,-0.173965816201136
"67%",-0.314697290773216,-0.173501445278704
"68%",-0.314190659619049,-0.173119038739785
"69%",-0.313566621190725,-0.172713477099162
"70%",-0.313007370003634,-0.172403376287515
"71%",-0.312528370470331,-0.172010954478127
"72%",-0.311978006030999,-0.171329652450863
"73%",-0.311409561062272,-0.170877902824047
"74%",-0.311059816572596,-0.170538682474635
"75%",-0.310504701440452,-0.17026576555628
"76%",-0.310007983209576,-0.169723093479384
"77%",-0.309607897683019,-0.169154570265975
"78%",-0.309043172863785,-0.168766951460978
"79%",-0.308497100075761,-0.168276070672257
"80%",-0.307798071934521,-0.167873984803582
"81%",-0.30727586135766,-0.167197869637726
"82%",-0.306712696893956,-0.166734055115351
"83%",-0.306203191238652,-0.166302299707312
"84%",-0.305518089164145,-0.16578399406213
"85%",-0.304904651144005,-0.164982555989249
"86%",-0.304023435078626,-0.164383385046679
"87%",-0.303413877011446,-0.163908878428536
"88%",-0.302330525182277,-0.163020489981574
"89%",-0.301597307336076,-0.162344034273673
"90%",-0.300456321362574,-0.161304346562617
"91%",-0.299165934368985,-0.160326298704461
"92%",-0.29822381789124,-0.159506143569055
"93%",-0.296996216732628,-0.158699866898194
"94%",-0.295754861339858,-0.157603854497853
"95%",-0.294564021459568,-0.155976109316121
"96%",-0.292718176214442,-0.15467586963829
"97%",-0.291006386883621,-0.152884037945332
"98%",-0.28837772353234,-0.150271573462449
"99%",-0.284047596583664,-0.146030017702654
