"","V1","V2"
"1%",-3117.99920267548,-5882.10625881631
"2%",-2675.21394460363,-5344.96327369618
"3%",-2305.69532607786,-4931.55340479924
"4%",-1716.85837698172,-4466.18260998453
"5%",-1102.75378290265,-4038.05789428341
"6%",-851.804596758785,-3607.54019289895
"7%",-635.043882841988,-3195.24766422426
"8%",-541.500408908289,-2893.24480142592
"9%",-431.77219215076,-2533.41930171026
"10%",-271.281349906696,-2156.47205148257
"11%",-149.88305402966,-1795.16131948743
"12%",-79.3472671480564,-1547.8229980105
"13%",-20.7975389227712,-1346.89057461318
"14%",1.22753131798651,-1086.80464831925
"15%",4.92348544199004,-862.990666648669
"16%",13.7283667117793,-645.920243821703
"17%",188.57034031357,-457.227915253841
"18%",587.660097426603,-290.679285722257
"19%",955.68792198308,-149.062322597346
"20%",1359.74060988503,-73.1625881949384
"21%",1654.41720946153,-44.6811689891437
"22%",2026.7033427739,-15.204323241014
"23%",2442.97997598918,-2.88553045074452
"24%",3087.77505217513,1.49133553406295
"25%",3685.18641354887,5.97984878751087
"26%",4193.73064142315,44.4980024061511
"27%",4832.4583922913,228.825091892879
"28%",6351.43120581797,509.333086019101
"29%",7101.00340058376,734.330092809977
"30%",8494.31620236038,1012.71973302381
"31%",9073.92904121554,1229.66454962916
"32%",9453.91462604497,1386.69658864987
"33%",9727.97556246965,1544.10095403626
"34%",9973.96497149803,1672.94106274804
"35%",10238.9199106887,1826.91798477373
"36%",10471.9050526056,1988.20080704181
"37%",10689.6945084317,2120.88450044006
"38%",10868.9345776754,2272.89597190605
"39%",11037.7693617993,2395.67963781258
"40%",11212.561711981,2544.79704948876
"41%",11369.2593508516,2692.51040572764
"42%",11538.1156138691,2886.34603311785
"43%",11681.1451873434,3033.08496851395
"44%",11827.4535619176,3200.57795803336
"45%",11946.5338769764,3348.23589619601
"46%",12082.4220832236,3473.31245437021
"47%",12198.1186117066,3594.44522266848
"48%",12314.218146376,3727.50143738954
"49%",12431.2206935379,3857.59330243098
"50%",12578.9379119827,3965.56413476872
"51%",12698.0002728755,4080.14384355055
"52%",12799.3209204241,4206.90011834496
"53%",12926.2105392829,4352.54353413486
"54%",13032.7777138651,4478.15318064582
"55%",13118.6043011926,4627.84572375299
"56%",13213.7559810198,4768.81319029767
"57%",13320.9981310387,4902.59274008535
"58%",13430.7550977118,5014.30550711356
"59%",13548.6723241406,5127.12161643024
"60%",13667.0275938028,5245.16319412484
"61%",13798.1090824081,5344.45179345129
"62%",13947.23282118,5439.12892217544
"63%",14095.2824143079,5552.69188212551
"64%",14233.6487885492,5667.51818462718
"65%",14370.1188027762,5829.70588810932
"66%",14482.6968843548,5994.98728625751
"67%",14607.0793432239,6156.9418319904
"68%",14713.5492809644,6300.11145080289
"69%",14815.2927976904,6438.28788915913
"70%",14918.3264467517,6589.22947143066
"71%",15031.9439722677,6737.14255441686
"72%",15171.2787412639,6893.66800138356
"73%",15298.4500585232,7035.47117208508
"74%",15432.5259887271,7182.59523862151
"75%",15555.3506843008,7333.97752451509
"76%",15679.8791515756,7466.75539830866
"77%",15781.7017853758,7627.48258406837
"78%",15898.2938974881,7747.3558688555
"79%",15996.194619262,7884.4766799185
"80%",16096.5232253065,8003.10834205994
"81%",16193.8300081079,8133.53110452428
"82%",16310.1613592143,8266.80517038671
"83%",16460.8589822833,8397.9858901853
"84%",16604.4813448277,8545.49218502574
"85%",16818.5156180427,8714.39494392225
"86%",17012.5707204271,8897.38804722511
"87%",17290.7335746105,9075.47207558788
"88%",17570.5050038677,9262.55107170466
"89%",17863.80552928,9428.02253107346
"90%",18181.191529223,9644.36148911321
"91%",18607.8505229169,9910.33889765806
"92%",19138.3107801428,10214.4505141827
"93%",19577.1400538034,10642.5529464142
"94%",19881.1011185887,10982.0438749485
"95%",20159.4873123768,11345.967821586
"96%",20548.5965806258,11691.885687993
"97%",21085.979556441,11986.8569367653
"98%",21555.3794174704,12420.7344997295
"99%",22278.3864049221,13181.350001444
