"","V1","V2"
"1%",0.308418935057382,-0.315837826785415
"2%",0.312423779590197,-0.311137710053964
"3%",0.314203359597018,-0.311137710053964
"4%",0.316034254726183,-0.305904615058448
"5%",0.317184295360884,-0.273822234440866
"6%",0.318515505016094,-0.230335544950952
"7%",0.319669531226324,-0.192264091294796
"8%",0.320967375670985,-0.186409100332189
"9%",0.321646546681478,-0.182912980104518
"10%",0.322487195101292,-0.1802361844727
"11%",0.323232881168569,-0.17906980197394
"12%",0.323844510802849,-0.177744205883049
"13%",0.32435305528283,-0.176396960701112
"14%",0.32506742259754,-0.175136974400613
"15%",0.325744792216308,-0.173782884863127
"16%",0.326664935826183,-0.173090890081165
"17%",0.327435337351787,-0.172187412690766
"18%",0.328198756613144,-0.171499285707994
"19%",0.328903553148439,-0.170781752140646
"20%",0.329493399182493,-0.169956404713122
"21%",0.330143381391857,-0.169141103226004
"22%",0.330440694999952,-0.168390167917567
"23%",0.331003535851643,-0.167727947162258
"24%",0.331534890184268,-0.167229043424327
"25%",0.331947877494722,-0.166774504605393
"26%",0.332506202822317,-0.166147595331614
"27%",0.333056962351667,-0.165393027724653
"28%",0.333415726474722,-0.164959215585287
"29%",0.333962489441905,-0.164467820790153
"30%",0.334357203330868,-0.16406924878748
"31%",0.334740514705251,-0.163508800783662
"32%",0.33522398999014,-0.162952804837898
"33%",0.335735930238244,-0.162594406375547
"34%",0.336126898147506,-0.162159774201922
"35%",0.336411773434258,-0.161715438408036
"36%",0.336570209321929,-0.161323416096907
"37%",0.3368770790457,-0.160901266945299
"38%",0.337280696535426,-0.160329148803524
"39%",0.337612819322258,-0.159951445984332
"40%",0.337920942355554,-0.159583923706038
"41%",0.338301102817764,-0.159276446058586
"42%",0.338637275501526,-0.158793336133047
"43%",0.339154703552343,-0.158233531381346
"44%",0.339574948789489,-0.157850497689693
"45%",0.339873888791242,-0.157487464238025
"46%",0.340308239947006,-0.15714015632286
"47%",0.340646083094503,-0.156779536602588
"48%",0.340959236397039,-0.156544223999831
"49%",0.341440155477347,-0.156148005848906
"50%",0.34188174961193,-0.155761755949876
"51%",0.34218755809437,-0.155314130680539
"52%",0.342631584175215,-0.154926443714557
"53%",0.342920402057669,-0.154560086518117
"54%",0.343221845792239,-0.154193209343368
"55%",0.343661807954378,-0.153834386042465
"56%",0.344049320425471,-0.153488524714939
"57%",0.344455980494269,-0.153141126494394
"58%",0.344899591528882,-0.152775805621625
"59%",0.345377736560195,-0.152407196665376
"60%",0.345664793446888,-0.151976468173554
"61%",0.346182965720999,-0.151418304120516
"62%",0.346643963187727,-0.151071535280016
"63%",0.347099065808955,-0.150713352798533
"64%",0.347473313640412,-0.150319697020591
"65%",0.347985824612034,-0.149960092392012
"66%",0.348306184730855,-0.149537911994234
"67%",0.348822330674848,-0.149212607654758
"68%",0.349520141318128,-0.148797427505517
"69%",0.350144924621414,-0.148326482304642
"70%",0.350630896460956,-0.147942664243493
"71%",0.351225787327414,-0.14750149520488
"72%",0.351848959774333,-0.147040369125245
"73%",0.352500581564915,-0.146512506702334
"74%",0.353001634142787,-0.146034425088334
"75%",0.353612060160272,-0.145586544355458
"76%",0.354358723173147,-0.145215722814146
"77%",0.355047562765281,-0.144846552823686
"78%",0.355685000176358,-0.144268655811226
"79%",0.356375921437777,-0.143651953828144
"80%",0.356920223046089,-0.143157284031642
"81%",0.357760560062741,-0.142675652363875
"82%",0.35875277300529,-0.142078084488441
"83%",0.359417094799291,-0.141688185830286
"84%",0.360463822334711,-0.14090812150071
"85%",0.361293614030112,-0.14024785659948
"86%",0.362506668891944,-0.139679352637367
"87%",0.363613799384077,-0.139067551082792
"88%",0.364968245203229,-0.138199092147566
"89%",0.366225687761753,-0.137784563481037
"90%",0.36815734219998,-0.137011638097882
"91%",0.370552664003475,-0.136089342708184
"92%",0.372967595282083,-0.135226068521923
"93%",0.379819050766103,-0.134158917864087
"94%",0.4948411491086,-0.133145206145947
"95%",0.607233734376802,-0.131714018186114
"96%",0.642598232713502,-0.130080669981384
"97%",0.652319423646042,-0.128943608889871
"98%",0.652319423646042,-0.12638922545364
"99%",0.677196861750154,-0.122408855294486
