"","V1","V2"
"1%",-0.990529642624839,-0.687653328360458
"2%",-0.942462391592111,-0.665669750042892
"3%",-0.909690586231,-0.61697507364205
"4%",-0.902288454311406,-0.600295388414838
"5%",-0.817137036731694,-0.53134771217408
"6%",-0.686376495750456,-0.453126890096718
"7%",-0.642152000092742,-0.407145337000784
"8%",-0.482373651328902,-0.33045186960197
"9%",-0.474778060349963,-0.323331475096334
"10%",-0.471553683148708,-0.320321530728634
"11%",-0.468967036590213,-0.317909496379422
"12%",-0.467301900671268,-0.316067107190076
"13%",-0.465752352397989,-0.315224445637472
"14%",-0.464270677358189,-0.313609989186855
"15%",-0.463120884560259,-0.312658441844624
"16%",-0.462248509027345,-0.311416984911759
"17%",-0.4612383663926,-0.310343692821959
"18%",-0.460392818966699,-0.309362563179611
"19%",-0.459667808736885,-0.308509134595475
"20%",-0.458884934174965,-0.307788867840897
"21%",-0.458200837044036,-0.307125570126759
"22%",-0.457381508665199,-0.306367555729025
"23%",-0.45671589322521,-0.305784107106547
"24%",-0.455973019732084,-0.305207509940322
"25%",-0.455530001495543,-0.304501866939984
"26%",-0.454867153205379,-0.303935974848965
"27%",-0.454460979499097,-0.303394273523806
"28%",-0.453943973500506,-0.302674935340279
"29%",-0.453497183209589,-0.302159403433448
"30%",-0.453129360213477,-0.30163026758077
"31%",-0.452543222375758,-0.30106664345458
"32%",-0.452122074976153,-0.300556562668364
"33%",-0.45166025833166,-0.300110094370386
"34%",-0.451003721600684,-0.299662724366598
"35%",-0.45040850300973,-0.299209867284916
"36%",-0.449893022738243,-0.298840101331261
"37%",-0.449507078172376,-0.298421737352166
"38%",-0.449189489496163,-0.297911377069011
"39%",-0.44872089003948,-0.29744560220493
"40%",-0.448452756532355,-0.297134280823408
"41%",-0.447979425775615,-0.296745589398181
"42%",-0.447552318358756,-0.296221763823402
"43%",-0.447184812374828,-0.295834580743501
"44%",-0.446614958367349,-0.295483211380856
"45%",-0.446208336203616,-0.295148477556963
"46%",-0.445820887785968,-0.294623159253628
"47%",-0.445421306319506,-0.294128446347202
"48%",-0.445064828137146,-0.293685363136231
"49%",-0.444715597816385,-0.293284838045797
"50%",-0.444331636720955,-0.292917763619304
"51%",-0.443922996145688,-0.292307097608201
"52%",-0.443507239783799,-0.291974389809702
"53%",-0.443084682744635,-0.29160444766647
"54%",-0.442760149469766,-0.290986025578024
"55%",-0.44221819470089,-0.290621033138424
"56%",-0.441769002257764,-0.290240089323745
"57%",-0.441396100360876,-0.289855678648436
"58%",-0.440968229958596,-0.28948827457438
"59%",-0.440589820427445,-0.289064862130593
"60%",-0.4401602891293,-0.288628791987082
"61%",-0.439726220206046,-0.288355812631668
"62%",-0.439338305064342,-0.287870438919238
"63%",-0.438961555705176,-0.287489703329752
"64%",-0.438598303643901,-0.287062508104362
"65%",-0.43817214315755,-0.286564424050311
"66%",-0.437815964839451,-0.286147468275652
"67%",-0.437221096980401,-0.28573787928201
"68%",-0.436839055604398,-0.285403877034071
"69%",-0.43645285358256,-0.285002295611393
"70%",-0.435943370408272,-0.284611455860759
"71%",-0.43541230535782,-0.283982829108227
"72%",-0.435078575339724,-0.283428299420362
"73%",-0.434524907520006,-0.282927240773594
"74%",-0.434015390240497,-0.282418513958339
"75%",-0.433540546790163,-0.281825438474194
"76%",-0.433102416947642,-0.281290255258654
"77%",-0.432522594505341,-0.280672449292522
"78%",-0.432036941171439,-0.280311435358681
"79%",-0.431416761593964,-0.279897499049517
"80%",-0.430849550939714,-0.279214468356573
"81%",-0.430393827141246,-0.278512155750561
"82%",-0.429705223429429,-0.277956106063469
"83%",-0.42916186670817,-0.277354416029582
"84%",-0.428629153542565,-0.276706981316184
"85%",-0.428029175749435,-0.276241316777642
"86%",-0.427612672557518,-0.275425935379747
"87%",-0.427108662662757,-0.274886819674845
"88%",-0.426147119952677,-0.274147668511676
"89%",-0.425319319864386,-0.273362062557316
"90%",-0.424444754316225,-0.272471579037431
"91%",-0.423568024861812,-0.271526551578842
"92%",-0.422833485639987,-0.270616698341162
"93%",-0.421353223800741,-0.269680427236061
"94%",-0.420087638897859,-0.268307244197035
"95%",-0.418397776259392,-0.266791258362456
"96%",-0.416965797472191,-0.264800381048318
"97%",-0.414166753207839,-0.263296421732025
"98%",-0.41147954460883,-0.260517551152307
"99%",-0.407836290974072,-0.257152656742951
