"","V1","V2"
"1%",0.163943451593828,0.304382501425288
"2%",0.169596288303778,0.308504462139275
"3%",0.172109120097272,0.311074873209617
"4%",0.173526140142362,0.313449702720367
"5%",0.175024499748521,0.31518516471574
"6%",0.176656071109825,0.316794433298713
"7%",0.178034764468534,0.317958409337509
"8%",0.179089884612758,0.318930864031927
"9%",0.179897484332959,0.319852287544122
"10%",0.18075585247476,0.320549871121758
"11%",0.18154254778118,0.321332947798282
"12%",0.182564242608949,0.321913046349858
"13%",0.183450236071103,0.322452342421039
"14%",0.184180514895571,0.323181933413855
"15%",0.184600591443311,0.32376553487629
"16%",0.18534231507161,0.324284690607474
"17%",0.185831679616301,0.324836591670399
"18%",0.186423601257618,0.325368296832657
"19%",0.18686198199343,0.325992427576506
"20%",0.187389517894466,0.326630635647574
"21%",0.187926699526803,0.327030857557586
"22%",0.188464112166204,0.327462368790905
"23%",0.188924612029467,0.327979109143118
"24%",0.189322513636731,0.328362916214985
"25%",0.18996428275037,0.328873853862329
"26%",0.190555279505803,0.32933689377991
"27%",0.191076305987947,0.329782770697852
"28%",0.191446825241777,0.330275129611757
"29%",0.191823816371451,0.330726129497588
"30%",0.192214572674851,0.331149235261921
"31%",0.192651876943309,0.33173282994509
"32%",0.193057714118687,0.332102771074427
"33%",0.19344152991415,0.332513375618626
"34%",0.19392553281178,0.333091343625182
"35%",0.194311137892074,0.333509913906196
"36%",0.194712306087408,0.333997049906985
"37%",0.195132753649736,0.334423961657369
"38%",0.195634064263855,0.334771157560195
"39%",0.195960230691003,0.335212386566945
"40%",0.19638795826917,0.335588174193104
"41%",0.196897119678107,0.335933726147418
"42%",0.197410441975527,0.336370251352749
"43%",0.197797375749297,0.336804684605139
"44%",0.198242813747088,0.337146930006917
"45%",0.198602083146837,0.337497624013
"46%",0.198928472807845,0.337910002812674
"47%",0.199381161193489,0.338366896975099
"48%",0.199857151444174,0.338724238842627
"49%",0.200318239322031,0.339094614737362
"50%",0.200626931804608,0.339561797207647
"51%",0.200998944850584,0.3399066357483
"52%",0.201350699858046,0.340275835649575
"53%",0.201620301377305,0.340822953574731
"54%",0.201973985695744,0.341283562798873
"55%",0.202355079901043,0.34172856502421
"56%",0.202755209262663,0.342203837906339
"57%",0.203256933826942,0.342723725210031
"58%",0.203614821898577,0.343207580518445
"59%",0.20421777321838,0.343557447865169
"60%",0.204789039600699,0.344058209133001
"61%",0.205148507410396,0.344418161034095
"62%",0.205654009848561,0.344824053371182
"63%",0.20612290180455,0.345303027108884
"64%",0.206575135621702,0.345751550268787
"65%",0.207036387552508,0.346117772177386
"66%",0.20761185226013,0.34659085919423
"67%",0.207946272363621,0.347238430938016
"68%",0.208470712188985,0.347641165677149
"69%",0.208883012708105,0.348037536435648
"70%",0.209354135511827,0.348477106350879
"71%",0.209896631330174,0.349031812491733
"72%",0.210710616392252,0.349437498823183
"73%",0.211327793521854,0.350081870186481
"74%",0.211971630814767,0.35062335265896
"75%",0.212532098901574,0.350953082092378
"76%",0.212895807615678,0.35141981349583
"77%",0.213456038078563,0.352116459384171
"78%",0.214270614746665,0.352652188306812
"79%",0.214979681259529,0.353300042353131
"80%",0.215543852385646,0.353803480203844
"81%",0.216287683633304,0.354454251080303
"82%",0.216866533231041,0.35519268820218
"83%",0.217652116993081,0.355933306752257
"84%",0.218377271100738,0.356765441205993
"85%",0.219339764719635,0.357900528454648
"86%",0.22069074266215,0.359265239423642
"87%",0.221974475959311,0.360680434476038
"88%",0.223614524732652,0.362323017685365
"89%",0.224942586333073,0.364087407457335
"90%",0.228033679565738,0.365879561470273
"91%",0.231192886509094,0.368886027403406
"92%",0.237172503625674,0.374981794402316
"93%",0.279097958530802,0.483447686147481
"94%",0.303507374505165,0.504384528357139
"95%",0.349794234020675,0.594322529953749
"96%",0.378041797248362,0.646007576342424
"97%",0.394402067444226,0.676631385275065
"98%",0.411974496224517,0.730713059002376
"99%",0.417822461342285,0.750639913248385
