"","V1","V2"
"1%",-0.523885710313963,-0.76382203368194
"2%",-0.498806412011791,-0.725468794353992
"3%",-0.467384489787662,-0.672808138405141
"4%",-0.45927434101369,-0.623178710274267
"5%",-0.420389811108363,-0.592766523972285
"6%",-0.399951191056825,-0.512679270779882
"7%",-0.393489001943489,-0.507384233084027
"8%",-0.389250572559066,-0.50254999086767
"9%",-0.38732436309163,-0.500536385128486
"10%",-0.385735535272245,-0.49760674887253
"11%",-0.384214147024185,-0.495787190650559
"12%",-0.382500952347719,-0.494122216258021
"13%",-0.381436274917715,-0.493061432115737
"14%",-0.380291553101354,-0.492288556335778
"15%",-0.378802904493955,-0.4909725408312
"16%",-0.377603475261559,-0.490243103742067
"17%",-0.376264858601184,-0.488773722478471
"18%",-0.375673559026779,-0.487790458453553
"19%",-0.374769113444027,-0.486936362538311
"20%",-0.373883908514176,-0.485827504552216
"21%",-0.372988194618129,-0.484970012141901
"22%",-0.372539309186317,-0.484268538992685
"23%",-0.37175809427979,-0.483624690631611
"24%",-0.370886799735714,-0.483155992175937
"25%",-0.370261318843243,-0.482599155923988
"26%",-0.369573236060566,-0.482114513581502
"27%",-0.369081524732172,-0.481532042182332
"28%",-0.368479947298972,-0.480782218652795
"29%",-0.367816004978622,-0.479966713350962
"30%",-0.36750836904208,-0.479336083984328
"31%",-0.366910454462356,-0.478942319078398
"32%",-0.366390419289767,-0.478445564280318
"33%",-0.365754067427023,-0.477964621099377
"34%",-0.365427639086219,-0.477228634064414
"35%",-0.36494050094083,-0.476834218314637
"36%",-0.364440766946533,-0.476145300929289
"37%",-0.363758054628531,-0.475638843482544
"38%",-0.36306676215151,-0.475049988746057
"39%",-0.362430011067231,-0.474667108733113
"40%",-0.361829547064635,-0.474001257107452
"41%",-0.361337093783875,-0.473322936289137
"42%",-0.361039034581697,-0.472729877129653
"43%",-0.360679284165067,-0.47236030789447
"44%",-0.360304257322527,-0.471859152403368
"45%",-0.359767982379968,-0.471328068525073
"46%",-0.359255695018289,-0.470657992733788
"47%",-0.358742630579748,-0.469986706981677
"48%",-0.358320298244901,-0.469675431176148
"49%",-0.357640883360776,-0.469344043182416
"50%",-0.35708052202618,-0.468682855809213
"51%",-0.356395126863908,-0.46814310585086
"52%",-0.355842546553576,-0.46766010629
"53%",-0.355280973236392,-0.467310061901639
"54%",-0.354790598618502,-0.466734696459627
"55%",-0.354496633100412,-0.4663559443078
"56%",-0.353704396356156,-0.466063638042175
"57%",-0.353217250621423,-0.465427873293288
"58%",-0.352753115714601,-0.465050374529649
"59%",-0.35224411816946,-0.464440456001139
"60%",-0.35182583088345,-0.464022294186571
"61%",-0.351378195172117,-0.463613127390146
"62%",-0.350991476895419,-0.463082702887762
"63%",-0.350641226370349,-0.462774323752153
"64%",-0.350111552797469,-0.462426917224337
"65%",-0.349648535256109,-0.461793952356127
"66%",-0.349073642061647,-0.461105527388844
"67%",-0.348419905487678,-0.460478634252085
"68%",-0.347968213617855,-0.459784582754917
"69%",-0.347215623927639,-0.459225239049828
"70%",-0.346524889853927,-0.458372354561359
"71%",-0.346129901312744,-0.457624911531966
"72%",-0.345578849682186,-0.457154353791006
"73%",-0.344913093749399,-0.456519130291606
"74%",-0.343989294229507,-0.455932935638881
"75%",-0.34325913182378,-0.455321475587096
"76%",-0.34264557283761,-0.45472135705502
"77%",-0.34201747592566,-0.453916936940132
"78%",-0.34135606362898,-0.453327165904336
"79%",-0.340853300125732,-0.452592164001792
"80%",-0.340440093360837,-0.452019004573885
"81%",-0.33973653981992,-0.451185121807962
"82%",-0.339301994515442,-0.450211164531515
"83%",-0.338317247366778,-0.449215183714084
"84%",-0.337734018827079,-0.448438765472385
"85%",-0.337072187272747,-0.447514671102436
"86%",-0.336415797099472,-0.446791510474408
"87%",-0.33535477219163,-0.445901632261539
"88%",-0.334396002182996,-0.444804280621705
"89%",-0.333155764002038,-0.443659305848339
"90%",-0.332265766368206,-0.442733355473211
"91%",-0.330792623864728,-0.441763061140012
"92%",-0.329050831683953,-0.440545400578919
"93%",-0.327154428864162,-0.439138722594284
"94%",-0.325106058656328,-0.438063458303928
"95%",-0.323435191151631,-0.435928882683106
"96%",-0.321985462092784,-0.434466432935741
"97%",-0.319557660309815,-0.432027898544956
"98%",-0.315115671043289,-0.428493530291361
"99%",-0.309403711348549,-0.421074856863926
